animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.07637706749560351,320.257,0.25,243.905,0,raw,0.15961673103540647,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.08060633614932132,320.914,0.5,244.262,0,raw,0.16384599968912428,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.08317209246591051,321.048,0.75,244.214,0,raw,0.16641175600571348,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.06301257854985434,319.19,1,243.786,0,raw,0.14625224208965731,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.05114243119508588,318.086,1.25,243.524,0,raw,0.13438209473488885,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.02475179479588541,318.095,1.5,245.405,0,raw,0.10799145833568838,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.02965774643419814,317.514,1.75,244.476,0,raw,0.1128974099740011,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,5.321829722593586e-4,316.21,2,245.238,0,raw,0.08377184651206233,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.001300500111018,316.771,2.25,245.929,0,raw,0.08193916342878498,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.02182655064372947,313.362,2.5,243.976,0,raw,0.0614131128960735,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.03506416152986729,312.495,2.75,244.048,0,raw,0.04817550200993568,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.03505006396768816,311.781,3,243.333,0,raw,0.048189599572114813,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00194193919016529,314.667,3.25,243.595,0,raw,0.08518160272996826,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.0346553322266746,312.762,3.5,244.286,0,raw,0.04858433131312837,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.0421693328681139,312.181,3.75,244.238,0,raw,0.041070330671689075,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.03169484416907225,313.638,4,244.952,0,raw,0.05154481937073072,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.05928377335349295,310.943,4.25,244.214,0,raw,0.023955890186310023,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
20210324_ASH_unc13_HEX_IAA_10K__1_response/20210324_ASH_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.03713650317018942,313.229,4.5,244.929,0,raw,0.04610316036961355,ash_hexiaa_unc13,HEX_IAA,OP50,AWC,-0.08323966353980297
