animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210616_ASH_unc31_HEX_10K__5_reg.tif,1,360.024,232.796,127.22800000000001,170.4975,-0.25378377982081846,0.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,2,360.6,233.108,127.49200000000002,170.4975,-0.25223537002008817,0.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,3,364.056,232.753,131.303,170.4975,-0.22988313611636538,0.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,4,366.48,233.473,133.007,170.4975,-0.2198888546752885,1
20210616_ASH_unc31_HEX_10K__5_reg.tif,5,372.688,232.613,140.075,170.4975,-0.1784337013739205,1.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,6,376.032,232.172,143.85999999999999,170.4975,-0.156233962374815,1.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,7,380.072,232.882,147.19,170.4975,-0.1367028842065133,1.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,8,384.64,232.527,152.113,170.4975,-0.10782856053607826,2
20210616_ASH_unc31_HEX_10K__5_reg.tif,9,394.456,233.247,161.209,170.4975,-0.05447880467455534,2.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,10,416.928,233.237,183.691,170.4975,0.07738236631035646,2.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,11,434.704,233.043,201.661,170.4975,0.18277980615551548,2.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,12,445.36,233.237,212.12300000000002,170.4975,0.2441414096980895,3
20210616_ASH_unc31_HEX_10K__5_reg.tif,13,452.92,233.796,219.12400000000002,170.4975,0.2852035953606359,3.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,14,446.976,232.925,214.051,170.4975,0.2554494933943312,3.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,15,438.808,232.892,205.916,170.4975,0.2077361838150119,3.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,16,433.784,233.269,200.515,170.4975,0.17605829997507286,4
20210616_ASH_unc31_HEX_10K__5_reg.tif,17,424.736,233.269,191.46699999999998,170.4975,0.12299007316822817,4.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,18,413.984,232.849,181.135,170.4975,0.06239094414874111,4.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,19,405.288,233.505,171.78300000000002,170.4975,0.007539699995601186,4.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,20,398.824,233.817,165.007,170.4975,-0.03220281822314108,5
20210616_ASH_unc31_HEX_10K__5_reg.tif,21,396.888,233.656,163.23199999999997,170.4975,-0.042613528057596335,5.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,22,395.952,233.237,162.715,170.4975,-0.04564583058402615,5.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,23,392.088,233.806,158.282,170.4975,-0.07164621182128765,5.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,24,388.616,233.473,155.14299999999997,170.4975,-0.09005703895951571,6
20210616_ASH_unc31_HEX_10K__5_reg.tif,25,391.64,233.398,158.242,170.4975,-0.07188081936685295,6.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,26,390.888,233.806,157.08199999999997,170.4975,-0.07868443818824344,6.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,27,389.24,233.989,155.251,170.4975,-0.08942359858648952,6.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,28,389.784,232.624,157.16,170.4975,-0.07822695347439115,7
20210616_ASH_unc31_HEX_10K__5_reg.tif,29,391.696,233.559,158.13700000000003,170.4975,-0.07249666417396133,7.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,30,391.664,232.484,159.17999999999998,170.4975,-0.06637927242334946,7.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,31,387.248,232.28,154.968,170.4975,-0.0910834469713633,7.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,32,384.136,233.677,150.45900000000003,170.4975,-0.11752958254519844,8
20210616_ASH_unc31_HEX_10K__5_reg.tif,33,382.32,232.935,149.385,170.4975,-0.12382879514362387,8.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,34,377.608,233.194,144.41400000000002,170.4975,-0.152984647868737,8.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,35,372.272,232.71,139.56199999999998,170.4975,-0.18144254314579403,8.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,36,371.728,234.376,137.352,170.4975,-0.19440461003827034,9
20210616_ASH_unc31_HEX_10K__5_reg.tif,37,369.648,233.57,136.07800000000003,170.4975,-0.2018768603645213,9.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,38,369.984,234.183,135.801,170.4975,-0.20350151761756047,9.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,39,368.992,232.871,136.121,170.4975,-0.20162465725303885,9.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,40,375.6,233.237,142.36300000000003,170.4975,-0.16501414976759174,10
20210616_ASH_unc31_HEX_10K__5_reg.tif,41,379.088,233.344,145.74400000000003,170.4975,-0.14518394697869455,10.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,42,383.096,233.118,149.978,170.4975,-0.12035073828061991,10.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,43,394.392,233.452,160.94,170.4975,-0.05605654041848124,10.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,44,405.808,233.441,172.367,170.4975,0.010964970160852728,11
20210616_ASH_unc31_HEX_10K__5_reg.tif,45,418.536,233.28,185.256,170.4975,0.08656138653059428,11.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,46,426.672,233.677,192.99500000000003,170.4975,0.13195208140881848,11.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,47,432.392,232.925,199.46699999999998,170.4975,0.16991158228126502,11.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,48,441.768,233.441,208.32699999999997,170.4975,0.22187715362395324,12
20210616_ASH_unc31_HEX_10K__5_reg.tif,49,452.776,233.774,219.002,170.4975,0.28448804234666203,12.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,50,455.56,233.161,222.399,170.4975,0.30441208815378523,12.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,51,460.656,232.71,227.946,170.4975,0.33694628953503714,12.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,52,462.872,233.215,229.657,170.4975,0.346981627296588,13
20210616_ASH_unc31_HEX_10K__5_reg.tif,53,462.76,233.312,229.44799999999998,170.4975,0.3457558028710097,13.25
20210616_ASH_unc31_HEX_10K__5_reg.tif,54,454.368,232.602,221.766,170.4975,0.30069942374521613,13.5
20210616_ASH_unc31_HEX_10K__5_reg.tif,55,448.024,233.043,214.981,170.4975,0.2609041188287218,13.75
20210616_ASH_unc31_HEX_10K__5_reg.tif,56,446.072,233.624,212.448,170.4975,0.24604759600580656,14
20210616_ASH_unc31_HEX_10K__5_reg.tif,57,434.856,233.409,201.447,170.4975,0.18152465578674173,14.25
