animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,1,357.869,215.537,142.33200000000002,125.35985,0.13538744661867438,0.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,2,355.038,215.829,139.209,125.35985,0.11047516409759592,0.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,3,354.18,216.585,137.595,125.35985,0.09760022846230276,0.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,4,349.197,216.756,132.441,125.35985,0.05648658641502848,1
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,5,351.989,216.244,135.74499999999998,125.35985,0.08284271239954405,1.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,6,347.847,215.61,132.23699999999997,125.35985,0.054859271130269956,1.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,7,349.585,216.024,133.56099999999998,125.35985,0.0654208664097794,1.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,8,345.279,216.317,128.962,125.35985,0.028734479181332737,2
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,9,343.634,216.171,127.46300000000002,125.35985,0.016776902652643793,2.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,10,341.06,215.659,125.40100000000001,125.35985,3.2825501945013503e-4,2.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,11,340.754,216.439,124.31500000000003,125.35985,-0.008334805761174478,2.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,12,338.191,216.366,121.82499999999996,125.35985,-0.028197624678077026,3
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,13,336.284,216.707,119.577,125.35985,-0.04613000095325574,3.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,14,333.809,216.171,117.63800000000003,125.35985,-0.06159747319416832,3.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,15,334.945,216.122,118.82299999999998,125.35985,-0.05214468587829369,3.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,16,331.716,216,115.71600000000001,125.35985,-0.0769293358280182,4
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,17,328.913,215.39,113.52300000000002,125.35985,-0.09442297513916913,4.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,18,331.71,216.317,115.39299999999997,125.35985,-0.07950591836221903,4.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,19,328.667,215.707,112.95999999999998,125.35985,-0.09891404624367384,4.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,20,328.164,215.683,112.481,125.35985,-0.10273504634857174,5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,21,328.705,217.512,111.19299999999998,125.35985,-0.1130094683425356,5.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,22,327.634,215.512,112.12200000000001,125.35985,-0.1055988021683177,5.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,23,327.005,216.22,110.785,125.35985,-0.11626409891205197,5.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,24,327.426,217.39,110.036,125.35985,-0.12223889865854173,6
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,25,325.918,216.098,109.82,125.35985,-0.12396193837181524,6.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,26,325.601,216.415,109.186,125.35985,-0.12901937901170102,6.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,27,326.738,216.171,110.56700000000001,125.35985,-0.11800309269674451,6.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,28,325.525,215.268,110.25699999999998,125.35985,-0.1204759737667205,7
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,29,324.596,216.244,108.352,125.35985,-0.1356722267935068,7.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,30,324.022,216.317,107.70499999999998,125.35985,-0.14083336889761763,7.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,31,322.12,216.195,105.92500000000001,125.35985,-0.155032492460704,7.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,32,323.639,216.317,107.322,125.35985,-0.14388857357439397,8
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,33,323.066,216.244,106.82199999999997,125.35985,-0.1478770914291938,8.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,34,320.874,217.073,103.80100000000002,125.35985,-0.17197571630789268,8.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,35,322.213,216.293,105.92000000000002,125.35985,-0.15507237763925197,8.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,36,323.011,216.098,106.91300000000001,125.35985,-0.14715118117961998,9
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,37,322.219,215.537,106.68199999999999,125.35985,-0.1489938764285376,9.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,38,321.628,216.561,105.06699999999998,125.35985,-0.16187678909954037,9.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,39,324.12,216.049,108.071,125.35985,-0.1379137738279042,9.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,40,322.639,216.829,105.81,125.35985,-0.15594985156730798,10
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,41,323.23,216.537,106.69300000000001,125.35985,-0.1489061290357318,10.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,42,323.273,216.146,107.12700000000004,125.35985,-0.14544409553776555,10.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,43,325.011,215.561,109.45000000000002,125.35985,-0.12691344158436674,10.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,44,324.372,215.707,108.66500000000002,125.35985,-0.1331754146164021,11
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,45,323.066,216.805,106.26099999999997,125.35985,-0.152352208462279,11.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,46,324.404,215.098,109.30599999999998,125.35985,-0.12806213472654931,11.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,47,324.257,215.78,108.477,125.35985,-0.13467509732980687,11.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,48,323.776,216,107.77600000000001,125.35985,-0.14026699936223588,12
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,49,323.776,216.415,107.36100000000002,125.35985,-0.14357746918171949,12.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,50,324.858,215.537,109.321,125.35985,-0.1279424791909052,12.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,51,324.175,215.976,108.19900000000001,125.35985,-0.1368927132570754,12.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,52,322.628,216.39,106.238,125.35985,-0.15253568028359954,13
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,53,325.29,215.756,109.53400000000002,125.35985,-0.1262433705847604,13.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,54,326.568,216.976,109.59199999999998,125.35985,-0.12578070251360393,13.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,55,323.923,216.293,107.63,125.35985,-0.14143164657583748,13.75
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,56,322.798,217.098,105.69999999999999,125.35985,-0.156827325495364,14
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,57,322.519,216.902,105.61700000000002,125.35985,-0.15748941945926048,14.25
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,58,321.317,216.293,105.024,125.35985,-0.16221980163505295,14.5
20210324_ASH_unc31_HEX_IAA_10K__10_reg.tif,59,321.699,215.366,106.333,125.35985,-0.15177786189118764,14.75
