animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,1,321.641,207.833,113.80800000000002,113.72125,7.62830165866304e-4,0.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,2,319.893,206.548,113.34499999999997,113.72125,-0.003308528529188936,0.5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,3,320.515,208.143,112.37199999999999,113.72125,-0.01186453719071864,0.75
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,4,321.087,207.452,113.63499999999999,113.72125,-7.584334502127511e-4,1
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,5,321.942,207.19,114.75200000000001,113.72125,0.009063829319498439,1.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,6,319.903,207.095,112.80800000000002,113.72125,-0.008030601140947505,1.5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,7,320.641,206.619,114.02200000000002,113.72125,0.0026446244655244475,1.75
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,8,320.524,207.357,113.167,113.72125,-0.0048737593018015205,2
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,9,321.631,207.024,114.60699999999997,113.72125,0.007788781780010096,2.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,10,320.67,206.548,114.12200000000001,113.72125,0.0035239675962057786,2.5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,11,321.961,206.405,115.55600000000001,113.72125,0.016133748090176762,2.75
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,12,321.786,208.429,113.357,113.72125,-0.0032030073535069164,3
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,13,320.981,207.357,113.624,113.72125,-8.55161194587665e-4,3.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,14,321.767,207.357,114.41,113.72125,0.006056475812568002,3.5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,15,321.223,206.905,114.31800000000001,113.72125,0.005247480132341267,3.75
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,16,321.835,207.619,114.21599999999998,113.72125,0.004350550139045974,4
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,17,321.699,207,114.69900000000001,113.72125,0.008597777460237332,4.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,18,322.883,207.5,115.38299999999998,113.72125,0.014612484474097706,4.5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,19,321.223,208.262,112.96100000000001,113.72125,-0.006685206151005067,4.75
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,20,315.573,206.31,109.26299999999998,113.72125,-0.03920331512360285,5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,21,322.485,207.643,114.84200000000001,113.72125,0.009855238137111711,5.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,22,322.427,207.19,115.23700000000002,113.72125,0.013328643503303256,5.5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,23,321.699,207,114.69900000000001,113.72125,0.008597777460237332,5.75
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,24,320.786,207.048,113.738,113.72125,1.4728997438914732e-4,6
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,25,321.388,206.524,114.86399999999998,113.72125,0.010048693625861289,6.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,26,321.223,206.976,114.24700000000001,113.72125,0.0046231465095575046,6.5
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,27,321.155,207.762,113.39299999999997,113.72125,-0.002886443826461857,6.75
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,28,321.66,208.19,113.47000000000003,113.72125,-0.00220934961583671,7
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,29,318.786,207.19,111.596,113.72125,-0.018688239884805998,7.25
20200908_PY10106_ASH_tax4_p678_HEX_10K_7_reg.tif,30,318.961,207.476,111.48500000000001,113.72125,-0.019664310759862243,7.5
