animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,1,34862.233,2965.506,31896.727,30474.1621,0.04668101768743947,0.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,2,35087.644,3024.103,32063.541,30474.1621,0.05215496638708238,0.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,3,35301.778,3032.563,32269.214999999997,30474.1621,0.0589040937076329,0.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,4,34495.578,2994.678,31500.9,30474.1621,0.03369207975696894,1
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,5,33977.267,2914.103,31063.164,30474.1621,0.01932791123402206,1.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,6,34658.444,3053.517,31604.927000000003,30474.1621,0.03710569289122479,1.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,7,33682.767,2952.839,30729.928,30474.1621,0.008392877190871098,1.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,8,33434.6,2954.356,30480.244,30474.1621,1.9957562672403726e-4,2
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,9,34153.844,3045.517,31108.326999999997,30474.1621,0.020809920808290118,2.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,10,33084.344,2953.345,30130.998999999996,30474.1621,-0.011260788692858112,2.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,11,33292.856,2955.69,30337.166,30474.1621,-0.0044954837330868,2.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,12,33352.278,3006.609,30345.668999999998,30474.1621,-0.004216460474888769,3
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,13,32738.311,2920.448,29817.863,30474.1621,-0.021536247587263448,3.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,14,32520.889,2905.69,29615.199,30474.1621,-0.028186602708922415,3.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,15,32627.378,2921.966,29705.412,30474.1621,-0.02522629161968004,3.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,16,32625.989,2945.805,29680.184,30474.1621,-0.026054140468065576,4
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,17,32557.833,2944.333,29613.5,30474.1621,-0.028242354857067633,4.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,18,32498.6,2997.31,29501.289999999997,30474.1621,-0.03192449055063614,4.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,19,32254.178,2992.724,29261.453999999998,30474.1621,-0.0397946331065819,4.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,20,31706.211,2948.678,28757.533,30474.1621,-0.056330641491206146,5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,21,32012.533,2998.31,29014.222999999998,30474.1621,-0.04790744025083476,5.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,22,31555.356,2965.241,28590.114999999998,30474.1621,-0.06182441025999541,5.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,23,31152.722,2926.793,28225.929,30474.1621,-0.07377505877347817,5.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,24,31541.956,2965.977,28575.979,30474.1621,-0.062288278633262306,6
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,25,31154.8,2955.552,28199.248,30474.1621,-0.07465058735774073,6.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,26,30849.089,2958.655,27890.434,30474.1621,-0.0847842211878239,6.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,27,31036.589,2979.425,28057.164,30474.1621,-0.07931302892163852,6.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,28,30510.611,2928.805,27581.806,30474.1621,-0.09491175148667995,7
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,29,30276.233,2878.931,27397.302,30474.1621,-0.10096619194658683,7.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,30,30318.978,2848.322,27470.656,30474.1621,-0.0985591036151902,7.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,31,30221.5,2919.506,27301.994,30474.1621,-0.1040936938508968,7.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,32,30659.567,2963.977,27695.59,30474.1621,-0.09117796548046848,8
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,33,29990.211,2886.874,27103.337,30474.1621,-0.11061256053369886,8.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,34,29940.578,2915.103,27025.475000000002,30474.1621,-0.1131675774606449,8.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,35,29608.222,2843.885,26764.337,30474.1621,-0.12173673841552486,8.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,36,29251.922,2799.644,26452.278,30474.1621,-0.13197685589524388,9
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,37,29872.2,2982.483,26889.717,30474.1621,-0.11762243333345007,9.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,38,29182.567,2901.08,26281.487,30474.1621,-0.13758130859322298,9.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,39,29241.789,2896.414,26345.375,30474.1621,-0.13548484406073305,9.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,40,29129.911,2910.506,26219.405,30474.1621,-0.139618509806378,10
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,41,28676.433,2823.506,25852.927,30474.1621,-0.15164436957562819,10.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,42,28474.611,2879,25595.611,30474.1621,-0.16008811280819432,10.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,43,27943.6,2860.23,25083.37,30474.1621,-0.1768971393638417,10.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,44,28344.356,2922.954,25421.402,30474.1621,-0.16580472609614436,11
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,45,28350.978,3080.241,25270.737,30474.1621,-0.17074875046359356,11.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,46,27906.967,3036.276,24870.691,30474.1621,-0.18387613354593274,11.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,47,28752.189,2941.69,25810.499,30474.1621,-0.15303663098910933,11.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,48,28875.556,3008.747,25866.809,30474.1621,-0.15118883613210157,12
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,49,27363.044,2763.897,24599.147,30474.1621,-0.19278676410269538,12.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,50,28046.078,2878.184,25167.894,30474.1621,-0.17412351101197301,12.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,51,27488.367,2844.598,24643.769,30474.1621,-0.19132250727248054,12.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,52,27462.511,2824.851,24637.66,30474.1621,-0.19152297217714154,13
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,53,27354.111,2833.161,24520.95,30474.1621,-0.19535277394878728,13.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,54,27376.689,2827.425,24549.264,30474.1621,-0.19442365898552472,13.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,55,27110.078,2830.805,24279.273,30474.1621,-0.2032833283380087,13.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,56,26837.033,2790.161,24046.872,30474.1621,-0.21090949371828674,14
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,57,27070.422,2814.011,24256.411,30474.1621,-0.2040335376440096,14.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,58,27311.844,2830.77,24481.074,30474.1621,-0.1966612922886566,14.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,59,26653.456,2758.529,23894.927,30474.1621,-0.21589552088127803,14.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,60,26589.044,2758.023,23831.021,30474.1621,-0.21799257607808026,15
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,61,27018.956,2837.333,24181.623,30474.1621,-0.20648768223228692,15.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,62,26180.789,2734.448,23446.341,30474.1621,-0.23061572872581132,15.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,63,26470.844,2807.425,23663.419,30474.1621,-0.22349238274872862,15.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,64,26401.444,2798.609,23602.835,30474.1621,-0.22548042756522588,16
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,65,25943.356,2707.931,23235.425,30474.1621,-0.23753687061998013,16.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,66,26111.244,2742.736,23368.507999999998,30474.1621,-0.23316979402692103,16.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,67,25841.344,2736.701,23104.643,30474.1621,-0.2418284406251157,16.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,68,25949.911,2738.149,23211.762,30474.1621,-0.23831336448787882,17
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,69,25858.078,2772.667,23085.411,30474.1621,-0.24245953262813422,17.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,70,25301.467,2781.931,22519.536,30474.1621,-0.2610285419463592,17.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,71,25202.9,2787.736,22415.164,30474.1621,-0.2644534761466009,17.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,72,24743.956,2723.287,22020.668999999998,30474.1621,-0.27739870491796076,18
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,73,25037.011,2732.77,22304.240999999998,30474.1621,-0.2680933793418393,18.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,74,25111.956,2749.517,22362.439,30474.1621,-0.26618363036140713,18.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,75,24805.7,2749.115,22056.585,30474.1621,-0.27622013272679946,18.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,76,24912.611,2736.609,22176.002,30474.1621,-0.27230150160551914,19
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,77,24509.111,2695.046,21814.065000000002,30474.1621,-0.28417834989464724,19.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,78,24852.044,2781.598,22070.446000000004,30474.1621,-0.2757652883916371,19.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,79,24524.633,2727.414,21797.219,30474.1621,-0.2847311460616008,19.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,80,24555.144,2772.138,21783.006,30474.1621,-0.2851975411655371,20
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,81,23983.522,2618.011,21365.511000000002,30474.1621,-0.298897507669292,20.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,82,23666.256,2581.851,21084.405000000002,30474.1621,-0.3081219122346271,20.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,83,24349,2677.621,21671.379,30474.1621,-0.2888605458983235,20.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,84,23730.633,2545.08,21185.553,30474.1621,-0.30480277257565686,21
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,85,23511.056,2683.885,20827.171000000002,30474.1621,-0.31656296466310385,21.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,86,23467.344,2686.805,20780.539,30474.1621,-0.31809317900819334,21.5
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,87,23478.178,2680.724,20797.453999999998,30474.1621,-0.3175381186280427,21.75
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,88,23245.9,2630.391,20615.509000000002,30474.1621,-0.32350858631154944,22
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,89,23257.933,2634.529,20623.404000000002,30474.1621,-0.3232495143812338,22.25
20210214_PY10106_ASH_tax4_p678_HEX_10K__4_reg.tif,90,23112.7,2571.322,20541.378,30474.1621,-0.3259411716524275,22.5
