animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.05576907136911686,1031.329,0.25,228.243,0.03646983435823631,nls,0.03297455049924791,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.03722870182772438,1017.28,0.5,228.297,0.03358026982061074,nls,0.017323745495481,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.02869668748158264,1010.817,0.75,228.324,0.03070676253261445,nls,0.011665238437335555,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.03881021388603089,1018.402,1,228.216,0.02784922326444733,nls,0.024636304109950925,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.04130408618412507,1020.11,1.25,228.027,0.025007563282157752,nls,0.029971836390334686,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.03236453340234321,1013.878,1.5,228.595,0.022181694344886427,nls,0.023858152545824147,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.03340441373328289,1013.317,1.75,227.243,0.01937152870212694,nls,0.027708198519523313,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,0.01090303352549206,997.012,2,228.054,0.016576979091000588,nls,0.008001367922858839,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.0158183414513455,976.524,2.25,227.892,0.013797958733546445,nls,-0.01594098669652458,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.00400235609801402,984.89,2.5,227.27,0.011034381334027121,nls,-0.001361423943673775,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.03004011821506845,965.598,2.75,227.784,0.008286161076248633,nls,-0.02465096580294972,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.02286086854722869,971.707,3,228.432,0.005553212620896031,nls,-0.014738767679757354,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.02204053311548868,971.683,3.25,227.784,0.0028354511028829132,nls,-0.011200670730004227,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.02144631578352319,971,3.5,226.649,1.3279212871658563e-4,nls,-0.007903794423872412,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.01278678134622945,978.695,3.75,227.757,-0.002554848226122952,nls,0.0034433803682608673,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.01230693770426615,978.195,4,226.892,-0.005227553419788811,nls,0.006595929203890027,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.03499236752815247,962.561,4.25,228.514,-0.00788540644665886,nls,-0.013431647593126244,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.0225479841998664,970.756,4.5,227.243,-0.010528489839912947,nls,0.0016558191284139108,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.03713523091555016,960.768,4.75,228.351,-0.013156885674095842,nls,-0.010303031753086955,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.04250290650496408,956.037,5,227.703,-0.01577067556766576,nls,-0.013056917448930953,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.04696610969528011,952.561,5.25,227.622,-0.01836994068552894,nls,-0.014920855521383804,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.05840084941527108,943.646,5.5,227.405,-0.020954761741559635,nls,-0.02377077418534408,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.04439467363040301,954.976,5.75,228.081,-0.023525219001107156,nls,-0.007194141140928489,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.03739421501819884,959.463,6,227.243,-0.026081392283487714,nls,0.00236249075365624,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.04378468061705783,954.927,6.25,227.568,-0.028623360964463385,nls,-0.001486006164227078,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.05679435919478033,945.22,6.5,227.757,-0.031151203978706687,nls,-0.01196784172770628,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.06931104772938972,936.537,6.75,228.595,-0.033664999822251795,nls,-0.021970734418770555,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.07626943785791486,930,7,227.351,-0.036164826554932306,nls,-0.02642929781461519,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
20200908_PY10106_ASH_tax4_p678_HEX_10K_1/20200908_PY10106_ASH_tax4_p678_HEX_10K_1_ImageJ_data.csv,1,-0.069378094375253,935.134,7.25,227.243,-0.038650761802804745,nls,-0.017052019084080886,ASH_HEX,HEX,OP50,AWC,-0.013675313488367365
