animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,1,594.965,210.532,384.433,349.18145,0.10095481876256603,0.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,2,573.939,210.903,363.03599999999994,349.18145,0.03967722225794057,0.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,3,575.696,210.79,364.90600000000006,349.18145,0.0450326041088382,0.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,4,569.278,209.855,359.423,349.18145,0.02933016630751725,1
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,5,575.235,210.29,364.94500000000005,349.18145,0.04514429389075527,1.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,6,564.539,209.887,354.652,349.18145,0.01566678298632417,1.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,7,563.296,209.823,353.47300000000007,349.18145,0.012290314963753332,1.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,8,565.8,209.516,356.284,349.18145,0.02034057078347091,2
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,9,565.209,210.016,355.193,349.18145,0.017216120730353803,2.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,10,553.13,209.565,343.565,349.18145,-0.016084617324316586,2.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,11,560.165,209.839,350.32599999999996,349.18145,0.003277808715210906,2.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,12,558.339,209.871,348.4680000000001,349.18145,-0.002043207048942346,3
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,13,567.217,210.016,357.201,349.18145,0.022966712578804054,3.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,14,547.461,210.097,337.36400000000003,349.18145,-0.033843292649136866,3.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,15,556.504,210.887,345.617,349.18145,-0.010208016491139393,3.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,16,545.304,210.71,334.59399999999994,349.18145,-0.04177613100581388,4
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,17,541.609,210.984,330.625,349.18145,-0.053142714196301045,4.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,18,542.478,210.226,332.25199999999995,349.18145,-0.04848324560196434,4.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,19,529.243,210.355,318.88800000000003,349.18145,-0.0867556108722269,4.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,20,538.4,210.016,328.384,349.18145,-0.05956058089569183,5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,21,530.557,210.016,320.54100000000005,349.18145,-0.08202168242327859,5.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,22,522.235,210.323,311.91200000000003,349.18145,-0.10673376263257957,5.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,23,519.087,210.419,308.668,349.18145,-0.11602406141563357,5.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,24,526.052,210.581,315.471,349.18145,-0.09654135407250294,6
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,25,514.704,210.29,304.414,349.18145,-0.12820683916628445,6.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,26,520.722,210.161,310.561,349.18145,-0.11060281123181087,6.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,27,517.539,210.371,307.168,349.18145,-0.1203198222585993,6.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,28,514.304,210.145,304.159,349.18145,-0.1289371185095886,7
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,29,513.435,209.532,303.9029999999999,349.18145,-0.12967026169345502,7.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,30,512.009,210.339,301.67,349.18145,-0.1360652176683497,7.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,31,508.791,210.355,298.43600000000004,349.18145,-0.14532687804578379,7.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,32,510.687,210.758,299.929,349.18145,-0.14105116408675206,8
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,33,515.252,209.258,305.9939999999999,349.18145,-0.12368197107836075,8.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,34,509.643,210.597,299.04599999999994,349.18145,-0.14357993530297802,8.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,35,504.965,210.065,294.9,349.18145,-0.1554534182729352,8.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,36,520.591,209.935,310.656,349.18145,-0.11033074637842297,9
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,37,506,210.952,295.048,349.18145,-0.15502956986976252,9.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,38,504.565,210.823,293.74199999999996,349.18145,-0.1587697456437048,9.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,39,509.139,210.726,298.413,349.18145,-0.14539274637870933,9.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,40,505.983,210.452,295.531,349.18145,-0.15364633487832752,10
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,41,510.539,210.274,300.265,349.18145,-0.1400889136579277,10.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,42,507.096,209.806,297.28999999999996,349.18145,-0.1486088393298098,10.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,43,510.47,210.387,300.083,349.18145,-0.14061013264020744,10.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,44,504.026,209.871,294.155,349.18145,-0.1575869794916082,11
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,45,502.27,209.887,292.383,349.18145,-0.1626617049674317,11.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,46,509.722,210.435,299.287,349.18145,-0.1428897497275414,11.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,47,523.443,210.645,312.798,349.18145,-0.1041963998946679,11.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,48,524.087,210.452,313.635,349.18145,-0.10179936534429304,12
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,49,522.052,211.081,310.971,349.18145,-0.10942863660140016,12.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,50,525.243,210.371,314.87200000000007,349.18145,-0.09825679456912707,12.5
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,51,520.522,210.548,309.97400000000005,349.18145,-0.11228388564169127,12.75
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,52,525.539,210.387,315.152,349.18145,-0.0974549192117737,13
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,53,522.47,209.935,312.535,349.18145,-0.10494958996246782,13.25
20210212_PY10106_ASH_tax4_p678_HEX_IAA_10K__1_reg.tif,54,522.643,210.177,312.466,349.18145,-0.10514719496124429,13.5
