animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20211004_AWC_odr1_IAA_10K__3_reg.tif,1,426.933,212.878,214.055,208.68915,0.02571216567799521,0.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,2,425.538,212.878,212.66000000000003,208.68915,0.0190275824114479,0.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,3,425.525,213.159,212.36599999999999,208.68915,0.01761878851871299,0.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,4,425.897,213.695,212.202,208.68915,0.016832930700997086,1
20211004_AWC_odr1_IAA_10K__3_reg.tif,5,424.26,212.829,211.43099999999998,208.68915,0.013138440594539634,1.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,6,424.444,212.951,211.49300000000002,208.68915,0.013435533184164156,1.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,7,423.17,213.073,210.097,208.68915,0.006746158101655003,1.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,8,423.709,212.902,210.80700000000002,208.68915,0.010148347434449775,2
20211004_AWC_odr1_IAA_10K__3_reg.tif,9,422.556,213.049,209.50699999999998,208.68915,0.003918986684262044,2.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,10,423.619,213.146,210.47300000000004,208.68915,0.008547880903247866,2.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,11,424.013,213.829,210.18399999999997,208.68915,0.007163046090321212,2.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,12,421.395,212.451,208.944,208.68915,0.0012211942978347281,3
20211004_AWC_odr1_IAA_10K__3_reg.tif,13,421.417,212.646,208.771,208.68915,3.9221013646360836e-4,3.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,14,418.067,212.72,205.347,208.68915,-0.016014967716337928,3.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,15,417.502,212.707,204.79500000000002,208.68915,-0.018660050127186755,3.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,16,416.726,213.061,203.665,208.68915,-0.024074802163888347,4
20211004_AWC_odr1_IAA_10K__3_reg.tif,17,417.861,213.11,204.75099999999998,208.68915,-0.018870890029500986,4.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,18,416.516,212.598,203.918,208.68915,-0.02286247272558255,4.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,19,416.48,213.232,203.24800000000002,208.68915,-0.026072989419909914,4.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,20,417.789,212.72,205.069,208.68915,-0.01734709255368582,5
20211004_AWC_odr1_IAA_10K__3_reg.tif,21,415.753,212.915,202.838,208.68915,-0.02803763396419995,5.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,22,418.484,212.902,205.582,208.68915,-0.01488889096534256,5.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,23,417.991,213.11,204.88099999999997,208.68915,-0.018247953954482254,5.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,24,418.139,213.305,204.834,208.68915,-0.01847316930468119,6
20211004_AWC_odr1_IAA_10K__3_reg.tif,25,417.475,212.854,204.621,208.68915,-0.019493826104519583,6.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,26,417.341,212.732,204.609,208.68915,-0.019551327896059775,6.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,27,419.466,214.012,205.454,208.68915,-0.015502243408437881,6.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,28,418.045,213.146,204.89900000000003,208.68915,-0.01816170126717169,7
20211004_AWC_odr1_IAA_10K__3_reg.tif,29,418.924,213.122,205.80199999999996,208.68915,-0.013834691453772504,7.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,30,416.637,213.244,203.393,208.68915,-0.025378176105466006,7.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,31,419.247,212.976,206.27100000000002,208.68915,-0.011587329767743062,7.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,32,417.399,213.537,203.862,208.68915,-0.02313081441943684,8
20211004_AWC_odr1_IAA_10K__3_reg.tif,33,418.596,212.476,206.12,208.68915,-0.012310893977957203,8.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,34,418.417,212.866,205.55099999999996,208.68915,-0.01503743726015489,8.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,35,416.946,212.756,204.19000000000003,208.68915,-0.021559098784004756,8.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,36,410.691,213.366,197.32499999999996,208.68915,-0.05445491536095696,9
20211004_AWC_odr1_IAA_10K__3_reg.tif,37,415.735,213.037,202.698,208.68915,-0.028708488198835466,9.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,38,416.48,212.585,203.895,208.68915,-0.022972684492701234,9.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,39,415.121,213.549,201.57199999999997,208.68915,-0.03410407297169037,9.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,40,410.664,213.793,196.87099999999998,208.68915,-0.056630399807560815,10
20211004_AWC_odr1_IAA_10K__3_reg.tif,41,411.673,213.232,198.441,208.68915,-0.04910724874771884,10.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,42,410.614,213.89,196.724,208.68915,-0.057334796753928136,10.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,43,410.78,213.293,197.48699999999997,208.68915,-0.05367864117516433,10.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,44,409.865,213.463,196.40200000000002,208.68915,-0.05887776149358985,11
20211004_AWC_odr1_IAA_10K__3_reg.tif,45,409.43,214.134,195.29600000000002,208.68915,-0.06417750994721091,11.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,46,414.955,213.366,201.58899999999997,208.68915,-0.034022612100341784,11.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,47,408.857,213.293,195.56400000000002,208.68915,-0.06289330326947994,11.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,48,409.143,213.695,195.44799999999998,208.68915,-0.06344915392103534,12
20211004_AWC_odr1_IAA_10K__3_reg.tif,49,409.036,213.707,195.329,208.68915,-0.06401938002047544,12.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,50,409.184,213.5,195.68400000000003,208.68915,-0.06231828535407799,12.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,51,408.336,213.341,194.995,208.68915,-0.06561984655167749,12.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,52,409.372,213.939,195.43300000000002,208.68915,-0.06352103116046037,13
20211004_AWC_odr1_IAA_10K__3_reg.tif,53,410.13,213.573,196.557,208.68915,-0.05813503001952916,13.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,54,409.395,213.024,196.37099999999998,208.68915,-0.05902630778840218,13.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,55,409.565,213.146,196.419,208.68915,-0.05879630062224126,13.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,56,407.709,213.037,194.672,208.68915,-0.06716760310730105,14
20211004_AWC_odr1_IAA_10K__3_reg.tif,57,408.807,213.195,195.61200000000002,208.68915,-0.06266329610331917,14.25
20211004_AWC_odr1_IAA_10K__3_reg.tif,58,407.395,212.951,194.444,208.68915,-0.06826013714656474,14.5
20211004_AWC_odr1_IAA_10K__3_reg.tif,59,407.767,213.841,193.926,208.68915,-0.0707422978147164,14.75
20211004_AWC_odr1_IAA_10K__3_reg.tif,60,407.762,213.841,193.921,208.68915,-0.0707662568945248,15
