animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.02269493701634513,260.155,0.25,203.829,0,raw,-0.0380585334566647,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.02817781170836626,260.083,0.5,204.073,0,raw,-0.04354140814868583,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.02286844570912999,260.779,0.75,204.463,0,raw,-0.03823204214944956,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.01141687198528648,260.878,1,203.902,0,raw,-0.026780468425606052,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.02312870874830801,260.569,1.25,204.268,0,raw,-0.03849230518862758,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.02580074261720478,260.586,1.5,204.439,0,raw,-0.04116433905752435,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,0.0058992955547071,261.315,1.75,203.341,0,raw,-0.00946430088561247,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.01058403025991601,261.122,2,204.098,0,raw,-0.02594762670023558,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,0.00862338203144026,261.619,2.25,203.488,0,raw,-0.00674021440887931,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,3.470173855709481e-4,261.63,2.5,203.976,0,raw,-0.015016579054748623,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.02298990179407943,260.309,2.75,204,0,raw,-0.038353498234399,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,-0.00444182253530927,261.89,3,204.512,0,raw,-0.01980541897562884,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,0.01509525627233907,261.967,3.25,203.463,0,raw,-2.6834016798050163e-4,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,0.00416420862685211,261.923,3.5,204.049,0,raw,-0.011199387813467462,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,0.01054932852135874,262.315,3.75,204.073,0,raw,-0.004814267918960832,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,0.01136481937745058,262.801,4,204.512,0,raw,-0.0039987770628689915,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
202109003_AWC_odr3_IAA_10K/202109003_AWC_odr3_IAA_10K__1/202109003_AWC_odr3_IAA_10K__1_ImageJ_data.csv,1,0.03987229760211014,263.591,4.25,203.659,0,raw,0.024508701161790568,odr3_IAA,IAA,OP50,AWC,0.015363596440319571
