animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20211023_AWC_WT_IAA_10K__4_reg.tif,1,364.242,203.98,160.262,149.64005,0.070983336,0.25
20211023_AWC_WT_IAA_10K__4_reg.tif,2,362.07,204.245,157.825,149.64005,0.054697589,0.5
20211023_AWC_WT_IAA_10K__4_reg.tif,3,362.375,204.571,157.804,149.64005,0.054557253,0.75
20211023_AWC_WT_IAA_10K__4_reg.tif,4,362.875,204.735,158.14,149.64005,0.056802641,1
20211023_AWC_WT_IAA_10K__4_reg.tif,5,361.797,204.02,157.777,149.64005,0.05437682,1.25
20211023_AWC_WT_IAA_10K__4_reg.tif,6,360.445,204.49,155.955,149.64005,0.042200935,1.5
20211023_AWC_WT_IAA_10K__4_reg.tif,7,360.906,204.551,156.355,149.64005,0.044874016,1.75
20211023_AWC_WT_IAA_10K__4_reg.tif,8,360.078,204.286,155.792,149.64005,0.041111654,2
20211023_AWC_WT_IAA_10K__4_reg.tif,9,359.906,204,155.906,149.64005,0.041873482,2.25
20211023_AWC_WT_IAA_10K__4_reg.tif,10,358.461,203.857,154.604,149.64005,0.033172603,2.5
20211023_AWC_WT_IAA_10K__4_reg.tif,11,356.484,204.224,152.26,149.64005,0.017508348,2.75
20211023_AWC_WT_IAA_10K__4_reg.tif,12,353.727,204.367,149.36,149.64005,-0.001871491,3
20211023_AWC_WT_IAA_10K__4_reg.tif,13,350.422,204,146.422,149.64005,-0.021505272,3.25
20211023_AWC_WT_IAA_10K__4_reg.tif,14,349.547,204.694,144.853,149.64005,-0.031990433,3.5
20211023_AWC_WT_IAA_10K__4_reg.tif,15,347.5,204.449,143.051,149.64005,-0.044032664,3.75
20211023_AWC_WT_IAA_10K__4_reg.tif,16,344.367,204.041,140.326,149.64005,-0.062243029,4
20211023_AWC_WT_IAA_10K__4_reg.tif,17,343.102,203.837,139.265,149.64005,-0.069333377,4.25
20211023_AWC_WT_IAA_10K__4_reg.tif,18,342.289,205.245,137.044,149.64005,-0.08417566,4.5
20211023_AWC_WT_IAA_10K__4_reg.tif,19,340.133,204.429,135.704,149.64005,-0.093130482,4.75
20211023_AWC_WT_IAA_10K__4_reg.tif,20,338.586,204.49,134.096,149.64005,-0.103876268,5
20211023_AWC_WT_IAA_10K__4_reg.tif,21,339.367,204.061,135.306,149.64005,-0.095790198,5.25
20211023_AWC_WT_IAA_10K__4_reg.tif,22,338.867,204.286,134.581,149.64005,-0.100635157,5.5
20211023_AWC_WT_IAA_10K__4_reg.tif,23,340.055,204.694,135.361,149.64005,-0.095422649,5.75
20211023_AWC_WT_IAA_10K__4_reg.tif,24,341.43,204.49,136.94,149.64005,-0.084870661,6
20211023_AWC_WT_IAA_10K__4_reg.tif,25,342.375,204.367,138.008,149.64005,-0.077733535,6.25
20211023_AWC_WT_IAA_10K__4_reg.tif,26,342.289,203.98,138.309,149.64005,-0.075722041,6.5
20211023_AWC_WT_IAA_10K__4_reg.tif,27,343.758,203.592,140.166,149.64005,-0.063312262,6.75
20211023_AWC_WT_IAA_10K__4_reg.tif,28,343.234,204.735,138.499,149.64005,-0.074452327,7
20211023_AWC_WT_IAA_10K__4_reg.tif,29,344.852,204.694,140.158,149.64005,-0.063365723,7.25
