animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00197425907969001,396.156,0.25,203.857,0.04019226888545513,nls,-0.05247389419594599,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.00117288392409131,396.909,0.5,205.214,0.038340918430324944,nls,-0.053769686744597124,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.0031205694453057,397.019,0.75,204.5,0.03649517840943828,nls,-0.04763049335431345,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.01107179498134914,397.831,1,203.786,0.03465503182062668,nls,-0.037839121229458414,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00329251600014798,396.695,1.25,204.143,0.03282046171324593,nls,-0.04378383010327882,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-6.674652628879895e-4,396.935,1.5,205.143,0.030991451188020047,nls,-0.045914800841088906,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00122915734203966,395.799,1.75,203.643,0.029167983396885422,nls,-0.04219471044502664,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.0042522904062679,396.675,2,205.571,0.027350041542835823,nls,-0.045858216339284594,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00796112548920106,397.377,2.25,203.929,0.025537608879767637,nls,-0.031832367780747446,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00102594777722604,396.76,2.5,204.643,0.023730668712325542,nls,-0.03696060532528037,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.00337692612707058,395.058,2.75,203.786,0.021929204395748525,nls,-0.039562014912999974,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.01822685586345564,393.851,3,205.429,0.020133199335717222,nls,-0.05261593958935373,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.01531418543445942,393.195,3.25,204.214,0.018342636988200045,nls,-0.047912706812840336,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.00320497957222829,394.948,3.5,203.643,0.016557500859301744,nls,-0.0340183648217109,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-2.9230914323207896e-4,396.364,3.75,204.5,0.014777774505111085,nls,-0.029325968038524032,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00565808375464586,397.649,4,204.643,0.013003441531549198,nls,-0.021601242167084207,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.00137609348890493,396.37,4.25,204.714,0.01123448559421869,nls,-0.026866463473304493,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.01195236976220823,398.143,4.5,203.929,0.009470890398253329,nls,-0.01177440502622597,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,3.173195512090903e-4,396.981,4.75,205,0.0077126396981677114,nls,-0.021651204537139493,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,2.808460395759858e-4,396.117,5,204.143,0.00595971729770739,nls,-0.019934755648312274,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00220873165447497,396.558,5.25,204.214,0.00421210704970032,nls,-0.01625925978540622,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-0.00283503395423415,397.162,5.5,205.786,0.0024697928559073157,nls,-0.019560711200322337,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,0.00336025252175257,397.351,5.75,204.786,7.327586668746111e-4,nls,-0.011628390535302912,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-9.696743592776908e-4,396.734,6,205,-9.990115182147985e-4,nls,-0.014226547231243763,WT_IAA,IAA,OP50,AWC,0.01425588439018087
20210904_AWC_WT_IAA_10K__1/20210904_AWC_WT_IAA_10K__1_ImageJ_data.csv,1,-2.9230914323193086e-4,395.935,6.25,204.071,-0.002725533651687817,nls,-0.011822659881724984,WT_IAA,IAA,OP50,AWC,0.01425588439018087
