animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.03015078842179239,630.965,0.25,216.075,-0.06850400855064576,nls,0.05440045851055432,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.02261902299070217,634.565,0.5,216.453,-0.06417723778686812,nls,0.0576054531778669,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.04856878340365449,622.294,0.75,215.283,-0.05987761493773125,nls,0.02735606991577771,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.03825526723916987,626.329,1,214.906,-0.05560496966620809,nls,0.03339694080873917,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.04702596366916657,623.388,1.25,215.717,-0.051359132704034915,nls,0.020380407416569293,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.03249073168576567,629.776,1.5,215.887,-0.047139935845005976,nls,0.030696442540941258,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.02175878410844248,635.235,1.75,216.755,-0.04294721193830919,nls,0.03723566621156767,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.0392487496439534,625.941,2,214.943,-0.03878079488190467,nls,0.015579283619652221,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.04086403515384896,626.118,2.25,215.811,-0.034640519615944165,nls,0.009823722843796154,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.05415799853268498,620.941,2.5,216.321,-0.03052622211623157,nls,-0.007584538034752456,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01965026380464274,635.212,2.75,215.83,-0.026437739387725312,nls,0.022834713964783523,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01365196768540688,637.835,3,215.887,-0.02237490945808085,nls,0.02477018015437492,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00784535523015308,639.753,3.25,215.321,-0.018337571371233707,nls,0.02653945452278158,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,2.75486826832337e-4,643.812,3.5,215.906,-0.014325565181023237,nls,0.030648290389556524,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.03526710592614585,657.894,3.75,215.019,-0.010338731944855462,nls,0.06165307625270226,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.03418011929502954,658.259,4,215.849,-0.006376913717407229,nls,0.05660427139413772,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.076287410018253,675.8,4.25,215.377,-0.00243995354436799,nls,0.09477460194432194,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.0750905559211961,675.647,4.5,215.736,0.0014723045437776694,nls,0.08966548975911938,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.07901305821584825,677.306,4.75,215.717,0.005360015537928864,nls,0.08970028105962034,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.11617397536607772,693.165,5,215.679,0.009223333456509608,nls,0.12299788029126907,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.11344598956282433,691.376,5.25,215.057,0.01306241135156927,nls,0.11643081659295601,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.1160804711397452,692.918,5.5,215.472,0.01687740131484694,nls,0.11525030820659922,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.16650730040091105,715.188,5.75,216.17,0.02066845448379606,nls,0.16188608429881593,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.14546417426476177,705.224,6,215.208,0.024435721047572634,nls,0.13707569159889008,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.13905212194400426,703.518,6.25,216.245,0.028179350252985236,nls,0.12692001007271997,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.20883666366167444,732.635,6.5,215.509,0.03189949041040696,nls,0.19298441163296842,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.16528473264161236,713.835,6.75,215.34,0.03559628889965172,nls,0.1457356821236616,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.19100774530570783,725.141,7,215.642,0.03926989217581278,nls,0.16778509151159599,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.1387622588423732,702.753,7.25,215.604,0.042920445775064486,nls,0.11188905144900967,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.10877779106316988,690.341,7.5,216.019,0.04654809432042839,nls,0.07827693512444245,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.1018397774692915,686.694,7.75,215.34,0.05015298152750258,nls,0.06773403432348987,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.1211039856994636,694.576,8,214.981,0.05373525021015513,nls,0.08341597387100942,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.08609366575488363,680.071,8.25,215.453,0.05729504228618176,nls,0.04484586185040282,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.06228047691363095,670.035,8.5,215.604,0.060832498782928845,nls,0.017495216512403055,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.09770455305973295,685,8.75,215.415,0.06434775984287955,nls,0.04940403159855436,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.08591133251353514,680.2,9,215.66,0.06784096472920664,nls,0.03411760616602945,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.04873405212369719,664.259,9.25,215.623,0.07131225183128886,nls,-0.0065309613258907225,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.04874807775764701,663.529,9.5,214.887,0.07476175867019419,nls,-0.00996644253084623,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.05656736868471006,667.647,9.75,215.66,0.07818962190412748,nls,-0.005575014837716472,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.01601224811860731,649.6,10,214.962,0.0815959773338446,nls,-0.04953649083353634,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.02116433098953291,652.106,10.25,215.264,0.08498095990803256,nls,-0.0477693905367987,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.03169758208589925,656.706,10.5,215.358,0.08834470372865533,nls,-0.040599883261055125,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.1047500965138934,687.882,10.75,215.283,0.09168734205626683,nls,0.029109992839327522,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,0.06645544061938123,672.047,11,215.83,0.09500900731529038,nls,-0.012506328314208202,odr3_hexiaa,HEX - IAA,OP50,AWC,-0.01604723838170095
