animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.0042680381434553,390.025,0.25,221.021,0,raw,-0.019406953904911498,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00258043238955164,389.866,0.5,221.146,0,raw,-0.021094559658815154,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00430963405992479,390.428,0.75,221.417,0,raw,-0.019365357988442005,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00982406412901856,391.272,1,221.333,0,raw,-0.013850927919348235,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00492763053318555,390.261,1.25,221.146,0,raw,-0.018747361515181245,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.01138093985973254,390.618,1.5,220.417,0,raw,-0.012294052188634256,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00341829299272209,390.173,1.75,221.312,0,raw,-0.020256699055644707,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00574469317812125,388.965,2,221.646,0,raw,-0.029419685226488045,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00477610255176113,388.544,2.25,221.062,0,raw,-0.028451094600127926,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01042126264404441,387.24,2.5,220.708,0,raw,-0.034096254692411204,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01373705141403826,386.516,2.75,220.542,0,raw,-0.03741204346240506,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01166914013812834,386.739,3,220.417,0,raw,-0.03534413218649514,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00318357317835887,388.438,3.25,220.688,0,raw,-0.026858565226725667,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00334698570734571,388.703,3.5,219.854,0,raw,-0.020328006341021086,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.0026992778651789,389.011,3.75,220.271,0,raw,-0.020975714183187895,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.0042680381434553,388.837,4,219.833,0,raw,-0.019406953904911498,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,2.9859925751275453e-4,388.753,4.25,220.417,0,raw,-0.02337639279085404,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00533467628720793,387.534,4.5,220.146,0,raw,-0.029009668335574727,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00371243554489894,388.057,4.75,220.396,0,raw,-0.027387427593265734,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.0072570018554748,390.965,5,221.458,0,raw,-0.016417990192891994,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.0017752542921787,388.466,5.25,220.479,0,raw,-0.025450246340545497,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00193866682116571,388.633,5.5,220.021,0,raw,-0.021736325227201085,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00856133095048142,387.095,5.75,220.25,0,raw,-0.03223632299884822,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00936650904785454,390.445,6,220.583,0,raw,-0.014308483000512255,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
20200811_AWC_Is_odr1p_HEX_IAA_10K__1/20200811_AWC_Is_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.01096498069503784,390.943,6.25,220.812,0,raw,-0.012710011353328955,HEX - IAA,HEX - IAA,OP50,AWC,0.023674992048366796
