animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,1,2026.685,421,1605.685,1587.1938,0.011650247121681005,0.25
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,2,2019.988,421.474,1598.5140000000001,1587.1938,0.0071322103198740525,0.5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,3,2019.747,423.053,1596.694,1587.1938,0.0059855324535667605,0.75
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,4,2018.438,423.947,1594.491,1587.1938,0.004597548201108129,1
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,5,2016.327,424.632,1591.695,1587.1938,0.002835948577924086,1.25
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,6,2018.623,423.789,1594.834,1587.1938,0.004813652875912223,1.5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,7,2018.432,423.263,1595.169,1587.1938,0.005024717208446811,1.75
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,8,2027.111,423.368,1603.7430000000002,1587.1938,0.01042670403576435,2
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,9,2020.685,424.316,1596.369,1587.1938,0.005780768548869019,2.25
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,10,2004.981,414.342,1590.6390000000001,1587.1938,0.00217062339835256,2.5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,11,1993.846,416.842,1577.004,1587.1938,-0.006420009957196219,2.75
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,12,1993.006,413.947,1579.0590000000002,1587.1938,-0.005125272036722808,3
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,13,2000.525,415.895,1584.63,1587.1938,-0.0016153036888122301,3.25
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,14,2001.037,415.211,1585.826,1587.1938,-8.617725195247035e-4,3.5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,15,1998.043,414.026,1584.0169999999998,1587.1938,-0.002001519915211479,3.75
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,16,1994.92,415.553,1579.3670000000002,1587.1938,-0.00493121885934775,4
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,17,1987.611,413.368,1574.2430000000002,1587.1938,-0.008159558082951083,4.25
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,18,1985.309,412.842,1572.467,1587.1938,-0.009278514066776163,4.5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,19,1983.204,412.737,1570.4669999999999,1587.1938,-0.010538599634146844,4.75
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,20,1983.068,414.105,1568.963,1587.1938,-0.011486183980809429,5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,21,1977.815,412.316,1565.499,1587.1938,-0.013668652183495163,5.25
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,22,1980.519,414.605,1565.914,1587.1938,-0.0134071844282658,5.5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,23,1972.907,415.316,1557.591,1587.1938,-0.01865103051687835,5.75
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,24,1972.235,414.711,1557.524,1587.1938,-0.01869324338338527,6
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,25,1974.975,412.816,1562.1589999999999,1587.1938,-0.015772995081004052,6.25
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,26,1978.309,413.289,1565.02,1587.1938,-0.013970442676880433,6.5
20220316_AWC_daf11_kaplan_HEX__3_reg.tif,27,1974.605,414.5,1560.105,1587.1938,-0.017067102958693507,6.75
