animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220319_AWC_WT_HEX__3_reg.tif,1,1168.978,266.069,902.9090000000001,909.2876,-0.0070149422470953,0.25
20220319_AWC_WT_HEX__3_reg.tif,2,1179.169,265.879,913.2900000000001,909.2876,0.004401687650859948,0.5
20220319_AWC_WT_HEX__3_reg.tif,3,1190.534,266.707,923.8270000000001,909.2876,0.015989880429470405,0.75
20220319_AWC_WT_HEX__3_reg.tif,4,1205.225,265.431,939.7939999999999,909.2876,0.03354978116934606,1
20220319_AWC_WT_HEX__3_reg.tif,5,1211.23,269.828,941.402,909.2876,0.03531819855456079,1.25
20220319_AWC_WT_HEX__3_reg.tif,6,1177.292,266.017,911.2749999999999,909.2876,0.0021856671090641354,1.5
20220319_AWC_WT_HEX__3_reg.tif,7,1167.348,265.345,902.0029999999999,909.2876,-0.008011326669361891,1.75
20220319_AWC_WT_HEX__3_reg.tif,8,1191.124,268.828,922.296,909.2876,0.01430614472252789,2
20220319_AWC_WT_HEX__3_reg.tif,9,1179.017,268.172,910.845,909.2876,0.0017127694252071948,2.25
20220319_AWC_WT_HEX__3_reg.tif,10,1172.551,268.448,904.103,909.2876,-0.005701826352850348,2.5
20220319_AWC_WT_HEX__3_reg.tif,11,1168.837,269.483,899.354,909.2876,-0.010924596354332728,2.75
20220319_AWC_WT_HEX__3_reg.tif,12,1167.337,270.138,897.1990000000001,909.2876,-0.01329458358389571,3
20220319_AWC_WT_HEX__3_reg.tif,13,1160.629,270.017,890.6119999999999,909.2876,-0.02053871624335375,3.25
20220319_AWC_WT_HEX__3_reg.tif,14,1171.32,267.655,903.665,909.2876,-0.006183522133151309,3.5
20220319_AWC_WT_HEX__3_reg.tif,15,1175.556,267.707,907.849,909.2876,-0.0015821176930158854,3.75
20220319_AWC_WT_HEX__3_reg.tif,16,1164.275,268.414,895.8610000000001,909.2876,-0.014766065214130155,4
20220319_AWC_WT_HEX__3_reg.tif,17,1161.73,268.707,893.023,909.2876,-0.017887189927587237,4.25
20220319_AWC_WT_HEX__3_reg.tif,18,1167.64,268.69,898.95,909.2876,-0.011368900224747321,4.5
20220319_AWC_WT_HEX__3_reg.tif,19,1167.292,269.276,898.0159999999998,909.2876,-0.012396077984567423,4.75
20220319_AWC_WT_HEX__3_reg.tif,20,1198.876,269.397,929.479,909.2876,0.02220573556705276,5
20220319_AWC_WT_HEX__3_reg.tif,21,1202.86,269.534,933.3259999999999,909.2876,0.026436520194490623,5.25
20220319_AWC_WT_HEX__3_reg.tif,22,1205.854,270,935.854,909.2876,0.029216718670748446,5.5
20220319_AWC_WT_HEX__3_reg.tif,23,1194.365,271.603,922.762,909.2876,0.014818633840382235,5.75
20220319_AWC_WT_HEX__3_reg.tif,24,1182.927,270.586,912.3409999999999,909.2876,0.003358013460207636,6
20220319_AWC_WT_HEX__3_reg.tif,25,1173.567,272.603,900.9639999999999,909.2876,-0.00915397944500734,6.25
20220319_AWC_WT_HEX__3_reg.tif,26,1170.135,272,898.135,909.2876,-0.012265206299964948,6.5
20220319_AWC_WT_HEX__3_reg.tif,27,1169.966,271.603,898.3629999999998,909.2876,-0.012014460551315304,6.75
20220319_AWC_WT_HEX__3_reg.tif,28,1207.562,269.741,937.8209999999999,909.2876,0.03137995063388076,7
20220319_AWC_WT_HEX__3_reg.tif,29,1229.876,269.724,960.152,909.2876,0.05593873709484221,7.25
20220319_AWC_WT_HEX__3_reg.tif,30,1236.006,267.845,968.1610000000001,909.2876,0.06474673139719497,7.5
20220319_AWC_WT_HEX__3_reg.tif,31,1229.674,269.397,960.277,909.2876,0.05607620735177742,7.75
20220319_AWC_WT_HEX__3_reg.tif,32,1230.163,269.948,960.215,909.2876,0.05600802210433754,8
20220319_AWC_WT_HEX__3_reg.tif,33,1246.242,269.81,976.432,909.2876,0.07384286335808386,8.25
20220319_AWC_WT_HEX__3_reg.tif,34,1259.573,271.966,987.6070000000001,909.2876,0.08613270432809167,8.5
20220319_AWC_WT_HEX__3_reg.tif,35,1241.64,270.431,971.2090000000001,909.2876,0.06809880614230313,8.75
20220319_AWC_WT_HEX__3_reg.tif,36,1237.264,269.603,967.6609999999998,909.2876,0.06419685036945388,9
20220319_AWC_WT_HEX__3_reg.tif,37,1236.652,269.224,967.4280000000001,909.2876,0.06394060581052696,9.25
20220319_AWC_WT_HEX__3_reg.tif,38,1246.073,270.362,975.711,909.2876,0.07304993491608157,9.5
20220319_AWC_WT_HEX__3_reg.tif,39,1244.073,270.638,973.4350000000002,909.2876,0.07054687647780546,9.75
20220319_AWC_WT_HEX__3_reg.tif,40,1236.888,269.155,967.733,909.2876,0.0642760332374487,10
20220319_AWC_WT_HEX__3_reg.tif,41,1238.854,269.034,969.82,909.2876,0.06657123664723906,10.25
20220319_AWC_WT_HEX__3_reg.tif,42,1285.787,270.448,1015.339,909.2876,0.11663130565070948,10.5
20220319_AWC_WT_HEX__3_reg.tif,43,1280.556,270.776,1009.78,909.2876,0.11051772838428675,10.75
20220319_AWC_WT_HEX__3_reg.tif,44,1267.736,270.362,997.374,909.2876,0.09687408032398113,11
20220319_AWC_WT_HEX__3_reg.tif,45,1257.629,268.552,989.0769999999999,909.2876,0.08774935454964951,11.25
20220319_AWC_WT_HEX__3_reg.tif,46,1258.826,270.534,988.292,909.2876,0.08688604133609656,11.5
20220319_AWC_WT_HEX__3_reg.tif,47,1267.124,270.655,996.469,909.2876,0.09587879566377025,11.75
20220319_AWC_WT_HEX__3_reg.tif,48,1256.118,270.31,985.808,909.2876,0.08415423239028004,12
20220319_AWC_WT_HEX__3_reg.tif,49,1261.522,269.707,991.8149999999999,909.2876,0.09076050305755841,12.25
20220319_AWC_WT_HEX__3_reg.tif,50,1257.534,270.552,986.9820000000001,909.2876,0.08544535304341562,12.5
20220319_AWC_WT_HEX__3_reg.tif,51,1243.64,270.121,973.5190000000001,909.2876,0.07063925649046586,12.75
20220319_AWC_WT_HEX__3_reg.tif,52,1233.888,269.224,964.664,909.2876,0.06090086348917547,13
20220319_AWC_WT_HEX__3_reg.tif,53,1238.382,271.793,966.589,909.2876,0.06301790544597777,13.25
20220319_AWC_WT_HEX__3_reg.tif,54,1232.376,270.466,961.91,909.2876,0.05787211878837891,13.5
20220319_AWC_WT_HEX__3_reg.tif,55,1262.27,271.241,991.029,909.2876,0.08989609008194986,13.75
20220319_AWC_WT_HEX__3_reg.tif,56,1265.854,270.086,995.768,909.2876,0.09510786246287757,14
20220319_AWC_WT_HEX__3_reg.tif,57,1256.303,270.017,986.2860000000001,909.2876,0.08467991865280035,14.25
20220319_AWC_WT_HEX__3_reg.tif,58,1276.444,267.534,1008.91,909.2876,0.10956093539601769,14.5
20220319_AWC_WT_HEX__3_reg.tif,59,1271.444,267.448,1003.996,909.2876,0.10415670465538074,14.75
20220319_AWC_WT_HEX__3_reg.tif,60,1258.59,266.603,991.9869999999999,909.2876,0.09094966213110116,15
20220319_AWC_WT_HEX__3_reg.tif,61,1254.438,266.5,987.9380000000001,909.2876,0.08649672556845613,15.25
20220319_AWC_WT_HEX__3_reg.tif,62,1252.09,266,986.0899999999999,909.2876,0.08446436528992579,15.5
20220319_AWC_WT_HEX__3_reg.tif,63,1265.545,266.741,998.8040000000001,909.2876,0.09844674006331999,15.75
20220319_AWC_WT_HEX__3_reg.tif,64,1262.618,267.483,995.135,909.2876,0.09441171308175762,16
20220319_AWC_WT_HEX__3_reg.tif,65,1271.163,268.534,1002.629,909.2876,0.10265332992553733,16.25
20220319_AWC_WT_HEX__3_reg.tif,66,1276.191,268.879,1007.312,909.2876,0.10780351563135801,16.5
20220319_AWC_WT_HEX__3_reg.tif,67,1275.388,270.103,1005.2849999999999,909.2876,0.10557429794489649,16.75
20220319_AWC_WT_HEX__3_reg.tif,68,1261.64,270.5,991.1400000000001,909.2876,0.09001816367010845,17
20220319_AWC_WT_HEX__3_reg.tif,69,1241.64,270.828,970.8120000000001,909.2876,0.06766220060627696,17.25
20220319_AWC_WT_HEX__3_reg.tif,70,1239.511,270.897,968.614,909.2876,0.06524492360832813,17.5
20220319_AWC_WT_HEX__3_reg.tif,71,1250.68,269.603,981.077,909.2876,0.07895125810579623,17.75
20220319_AWC_WT_HEX__3_reg.tif,72,1245.483,270.672,974.8109999999999,909.2876,0.07206014906614797,18
20220319_AWC_WT_HEX__3_reg.tif,73,1236.483,269.603,966.8799999999999,909.2876,0.06333793620412274,18.25
20220319_AWC_WT_HEX__3_reg.tif,74,1226.966,269.483,957.483,909.2876,0.053003472168761515,18.5
20220319_AWC_WT_HEX__3_reg.tif,75,1212.758,270.293,942.465,909.2876,0.0364872456195378,18.75
20220319_AWC_WT_HEX__3_reg.tif,76,1206.084,270.017,936.067,909.2876,0.029450967988566005,19
20220319_AWC_WT_HEX__3_reg.tif,77,1209.972,269.224,940.748,909.2876,0.034598954170275774,19.25
20220319_AWC_WT_HEX__3_reg.tif,78,1199.472,269.172,930.3,909.2876,0.02310864021460312,19.5
20220319_AWC_WT_HEX__3_reg.tif,79,1192.534,270.241,922.2930000000001,909.2876,0.014302845436361523,19.75
20220319_AWC_WT_HEX__3_reg.tif,80,1191.539,269.362,922.1769999999999,909.2876,0.014175273037925415,20
20220319_AWC_WT_HEX__3_reg.tif,81,1196.101,269.259,926.8420000000001,909.2876,0.019305663026747643,20.25
20220319_AWC_WT_HEX__3_reg.tif,82,1204.882,270.241,934.6410000000001,909.2876,0.02788270729744921,20.5
20220319_AWC_WT_HEX__3_reg.tif,83,1190.697,268.621,922.0759999999999,909.2876,0.014064197070321766,20.75
20220319_AWC_WT_HEX__3_reg.tif,84,1179.736,268.293,911.4430000000001,909.2876,0.002370427134385314,21
20220319_AWC_WT_HEX__3_reg.tif,85,1226.365,268.828,957.537,909.2876,0.05306285931975762,21.25
20220319_AWC_WT_HEX__3_reg.tif,86,1231.157,268.948,962.209,909.2876,0.05820094764296791,21.5
20220319_AWC_WT_HEX__3_reg.tif,87,1230.028,269.414,960.614,909.2876,0.05644682716447473,21.75
20220319_AWC_WT_HEX__3_reg.tif,88,1240.062,269.172,970.8899999999999,909.2876,0.06774798204660426,22
20220319_AWC_WT_HEX__3_reg.tif,89,1263.478,270.293,993.1850000000001,909.2876,0.09226717707356843,22.25
20220319_AWC_WT_HEX__3_reg.tif,90,1263.135,269.776,993.3589999999999,909.2876,0.09245853567122209,22.5
20220319_AWC_WT_HEX__3_reg.tif,91,1259.343,268.552,990.791,909.2876,0.0896343467127453,22.75
20220319_AWC_WT_HEX__3_reg.tif,92,1281.663,269.086,1012.577,909.2876,0.11359376285346902,23
20220319_AWC_WT_HEX__3_reg.tif,93,1279.421,269.034,1010.3870000000001,909.2876,0.11118528395196423,23.25
20220319_AWC_WT_HEX__3_reg.tif,94,1272.601,270.017,1002.5840000000001,909.2876,0.1026038406330407,23.5
20220319_AWC_WT_HEX__3_reg.tif,95,1250.551,267.328,983.223,909.2876,0.08131134747685986,23.75
