animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220316_AWC_WT_HEX/20220316_AWC_WT_HEX__1/20220316_AWC_WT_HEX__1_ImageJ_data.csv,1,40.25,-0.396057862761428,60.75,-0.3037332028150331
20220316_AWC_WT_HEX/20220316_AWC_WT_HEX__2/20220316_AWC_WT_HEX__2_ImageJ_data.csv,2,39.25,-0.08387934856963648,60.75,-0.12419402594165288
20220316_AWC_WT_HEX/20220316_AWC_WT_HEX__3/20220316_AWC_WT_HEX__3_ImageJ_data.csv,3,39.25,-0.6035719895071097,60.75,-0.4784616288508387
20220316_AWC_WT_HEX/20220316_AWC_WT_HEX__4/20220316_AWC_WT_HEX__4_ImageJ_data.csv,4,39.5,-0.22510495404070463,60.75,-0.12951651862203295
20220316_AWC_WT_HEX/20220316_AWC_WT_HEX__5/20220316_AWC_WT_HEX__5_ImageJ_data.csv,5,39.5,-0.5954238303459064,60.75,-0.27304466400672006
20220319_AWC_WT_HEX/20220319_AWC_WT_HEX__1/20220319_AWC_WT_HEX__1_ImageJ_data.csv,6,36.25,-0.07972259389482322,69,0.028526809592950456
20220319_AWC_WT_HEX/20220319_AWC_WT_HEX__2/20220319_AWC_WT_HEX__2_ImageJ_data.csv,7,40.25,-0.6264492904371292,60.75,-0.45877817296807305
20220319_AWC_WT_HEX/20220319_AWC_WT_HEX__3/20220319_AWC_WT_HEX__3_ImageJ_data.csv,8,36.25,-0.25166191074884275,62,-0.24444998796488432
20220319_AWC_WT_HEX/20220319_AWC_WT_HEX__4/20220319_AWC_WT_HEX__4_ImageJ_data.csv,9,37.75,-0.4704104209339925,66.5,0.2401132087650221
20220319_AWC_WT_HEX/20220319_AWC_WT_HEX__5/20220319_AWC_WT_HEX__5_ImageJ_data.csv,10,40.25,-0.2552959721739966,60.75,-0.38886234739730485
