animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,1,473.377,291.196,182.18099999999998,180.4801,0.00942430772146065,0.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,2,473.605,292.059,181.546,180.4801,0.005905914280854229,0.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,3,472.514,290.98,181.534,180.4801,0.005839424955992371,0.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,4,471.959,292.529,179.43,180.4801,-0.005818370003119381,1
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,5,471.441,290.588,180.85299999999995,180.4801,0.0020661557700819024,1.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,6,472.536,290.49,182.046,180.4801,0.008676302816764837,1.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,7,470.932,291.608,179.324,180.4801,-0.0064056923727324,1.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,8,470.955,291.216,179.73899999999998,180.4801,-0.004106269887926797,2
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,9,471.105,290.216,180.889,180.4801,0.0022656237446677884,2.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,10,469.732,290.588,179.144,180.4801,-0.007403032245660256,2.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,11,469.995,290.608,179.387,180.4801,-0.006056623417207729,2.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,12,471.064,290.176,180.88800000000003,180.4801,0.0022600829675960984,3
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,13,471.009,290.373,180.63600000000002,180.4801,8.638071454970993e-4,3.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,14,471.527,289.902,181.625,180.4801,0.006343635669528148,3.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,15,470.859,290.588,180.27099999999996,180.4801,-0.0011585764857180096,3.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,16,469.645,290.608,179.03699999999998,180.4801,-0.00799589539234528,4
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,17,470.495,290.412,180.08300000000003,180.4801,-0.0022002425752200173,4.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,18,470.168,289.216,180.952,180.4801,0.0026146927001924596,4.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,19,470.564,289.725,180.839,180.4801,0.0019885848910766646,4.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,20,470.1,290.902,179.19800000000004,180.4801,-0.007103830283781742,5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,21,469.145,290.059,179.08599999999996,180.4801,-0.007724397315826162,5.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,22,469.791,289.745,180.046,180.4801,-0.0024052513268775937,5.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,23,469.232,290.863,178.36900000000003,180.4801,-0.011697134476321572,5.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,24,469.791,289.784,180.007,180.4801,-0.0026213416326785507,6
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,25,469.364,290.667,178.697,180.4801,-0.009879759596764355,6.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,26,469.609,290.784,178.825,180.4801,-0.009170540131571318,6.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,27,469.282,290.078,179.204,180.4801,-0.0070705856213509714,6.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,28,468.705,290.196,178.50899999999996,180.4801,-0.010921425686266993,7
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,29,470.782,290.824,179.95799999999997,180.4801,-0.002892839709197984,7.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,30,469.964,290.196,179.76799999999997,180.4801,-0.003945587352844003,7.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,31,469.659,289.804,179.85500000000002,180.4801,-0.0034635397475953024,7.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,32,469.459,290.294,179.16500000000002,180.4801,-0.0072866759271519276,8
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,33,468.805,289.137,179.668,180.4801,-0.004499665060025935,8.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,34,468.305,288.235,180.07,180.4801,-0.0022722726771538795,8.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,35,468.968,290,178.96800000000002,180.4801,-0.008378209010300723,8.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,36,469.023,288.235,180.788,180.4801,0.0017060052604138509,9
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,37,469.005,290.529,178.476,180.4801,-0.011104271329636864,9.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,38,467.795,290.608,177.187,180.4801,-0.01824633297521434,9.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,39,467.486,289.902,177.584,180.4801,-0.016046644477701363,9.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,40,468.009,290.314,177.695,180.4801,-0.015431618222729265,10
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,41,468.573,290.49,178.08299999999997,180.4801,-0.013281796718862763,10.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,42,467.859,290.255,177.60399999999998,180.4801,-0.01593582893626504,10.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,43,467.677,290.843,176.834,180.4801,-0.020202227281567276,10.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,44,467.945,291.059,176.88599999999997,180.4801,-0.01991410687383277,11
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,45,468.945,291,177.945,180.4801,-0.014046423954773962,11.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,46,468.9,289.863,179.03699999999998,180.4801,-0.00799589539234528,11.5
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,47,469.245,290.137,179.108,180.4801,-0.0076025002202458275,11.75
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,48,468.695,288.961,179.73399999999998,180.4801,-0.004133973773285878,12
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,49,469.345,290.392,178.95300000000003,180.4801,-0.008461320666377965,12.25
20220221_AWC_daf11_kaplan_HEX_IAA__2_reg.tif,50,468.291,288.765,179.526,180.4801,-0.005286455404224525,12.5
