animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220221_AWC_daf11_kaplan_HEX_IAA/20220221_AWC_daf11_kaplan_HEX_IAA__1/20220221_AWC_daf11_kaplan_HEX_IAA__1_ImageJ_data.csv,1,33.75,0.13416880111417645,68,-0.03411919191070757
20220221_AWC_daf11_kaplan_HEX_IAA/20220221_AWC_daf11_kaplan_HEX_IAA__2/20220221_AWC_daf11_kaplan_HEX_IAA__2_ImageJ_data.csv,2,38.75,0.5568210845819728,60.75,0.07452607268744069
20220221_AWC_daf11_kaplan_HEX_IAA/20220221_AWC_daf11_kaplan_HEX_IAA__3/20220221_AWC_daf11_kaplan_HEX_IAA__3_ImageJ_data.csv,3,40,-0.020257596733551358,68.5,-0.06667561176226862
20220221_AWC_daf11_kaplan_HEX_IAA/20220221_AWC_daf11_kaplan_HEX_IAA__4/20220221_AWC_daf11_kaplan_HEX_IAA__4_ImageJ_data.csv,4,35.75,0.016759642137719407,69,0.017533826298984055
20220221_AWC_daf11_kaplan_HEX_IAA/20220221_AWC_daf11_kaplan_HEX_IAA__5/20220221_AWC_daf11_kaplan_HEX_IAA__5_ImageJ_data.csv,5,40.25,0.04247533419824799,68.5,1.4523342519196851
20220221_AWC_daf11_kaplan_HEX_IAA/20220221_AWC_daf11_kaplan_HEX_IAA__6/20220221_AWC_daf11_kaplan_HEX_IAA__6_ImageJ_data.csv,6,38.75,0.0560934329350453,60.75,0.046882907481130935
20220221_AWC_daf11_kaplan_HEX_IAA/20220221_AWC_daf11_kaplan_HEX_IAA__7/20220221_AWC_daf11_kaplan_HEX_IAA__7_ImageJ_data.csv,7,38.75,1.0925334091748407,60.75,0.2034433469581378
20220316_AWC_daf11_kaplan_HEX_IAA/20220316_AWC_daf11_kaplan_HEX_IAA__1/20220316_AWC_daf11_kaplan_HEX_IAA__1_ImageJ_data.csv,8,37.5,2.0970140979234673,60.75,0.5087310342092467
20220316_AWC_daf11_kaplan_HEX_IAA/20220316_AWC_daf11_kaplan_HEX_IAA__2/20220316_AWC_daf11_kaplan_HEX_IAA__2_ImageJ_data.csv,9,36.5,0.6372765395085814,60.75,0.11008057076039272
20220316_AWC_daf11_kaplan_HEX_IAA/20220316_AWC_daf11_kaplan_HEX_IAA__4/20220316_AWC_daf11_kaplan_HEX_IAA__4_ImageJ_data.csv,10,36.75,0.005843033690113483,69.5,-0.007051870545584497
20220316_AWC_daf11_kaplan_HEX_IAA/20220316_AWC_daf11_kaplan_HEX_IAA__5/20220316_AWC_daf11_kaplan_HEX_IAA__5_ImageJ_data.csv,11,40,0.003127984813395327,60.75,0.00837550238190758
20220316_AWC_daf11_kaplan_HEX_IAA/20220316_AWC_daf11_kaplan_HEX_IAA__6/20220316_AWC_daf11_kaplan_HEX_IAA__6_ImageJ_data.csv,12,37,0.011716647995892147,68,-0.027672678845553293
20220316_AWC_daf11_kaplan_HEX_IAA/20220316_AWC_daf11_kaplan_HEX_IAA__7/20220316_AWC_daf11_kaplan_HEX_IAA__7_ImageJ_data.csv,13,35.25,0.3231418895425234,60.75,0.12389746253359199
