animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220221_AWC_WT_HEX_IAA__2_reg.tif,1,282.507,225.346,57.161,57.81870000000001,-0.011375212517749542,0.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,2,283.667,225.077,58.589999999999975,57.81870000000001,0.013339974783244314,0.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,3,283.221,226.692,56.528999999999996,57.81870000000001,-0.02230593216381569,0.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,4,283.408,226.192,57.21600000000001,57.81870000000001,-0.010423963181462029,1
20220221_AWC_WT_HEX_IAA__2_reg.tif,5,283.648,225.385,58.263000000000034,57.81870000000001,0.007684365092954818,1.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,6,283.892,224.808,59.084,57.81870000000001,0.0218839233673534,1.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,7,284.563,224.923,59.639999999999986,57.81870000000001,0.03150018938509477,1.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,8,284.324,226,58.32400000000001,57.81870000000001,0.008739387084109559,2
20220221_AWC_WT_HEX_IAA__2_reg.tif,9,285.028,225.154,59.874000000000024,57.81870000000001,0.035547322924936335,2.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,10,284.225,226.327,57.898000000000025,57.81870000000001,0.0013715285885019498,2.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,11,283.117,225.154,57.96300000000002,57.81870000000001,0.0024957323495688314,2.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,12,283.221,226.038,57.18299999999999,57.81870000000001,-0.010994712783234733,3
20220221_AWC_WT_HEX_IAA__2_reg.tif,13,283.634,225.481,58.15300000000002,57.81870000000001,0.005781866420379793,3.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,14,283.075,225.827,57.24799999999999,57.81870000000001,-0.009870509022167852,3.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,15,283.803,226.346,57.456999999999994,57.81870000000001,-0.006255761544275696,3.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,16,283.427,225.808,57.61900000000003,57.81870000000001,-0.0034538998628467718,4
20220221_AWC_WT_HEX_IAA__2_reg.tif,17,283.526,226.077,57.44900000000001,57.81870000000001,-0.006394125084098995,4.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,18,282.69,225.365,57.32499999999999,57.81870000000001,-0.00853875995136553,4.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,19,282.671,226.077,56.593999999999994,57.81870000000001,-0.02118172840274881,4.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,20,282.554,225.75,56.803999999999974,57.81870000000001,-0.01754968548237911,5
20220221_AWC_WT_HEX_IAA__2_reg.tif,21,282.629,225.596,57.033000000000015,57.81870000000001,-0.013589029154927235,5.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,22,283.178,226.077,57.101,57.81870000000001,-0.012412939066426739,5.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,23,283.357,226.154,57.20300000000003,57.81870000000001,-0.010648803933675012,5.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,24,285.127,225.538,59.589,57.81870000000001,0.030618121818719403,6
20220221_AWC_WT_HEX_IAA__2_reg.tif,25,284.178,226.058,58.120000000000005,57.81870000000001,0.005211116818607088,6.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,26,282.967,225.365,57.601999999999975,57.81870000000001,-0.003747922384972879,6.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,27,283.023,224.885,58.138000000000034,57.81870000000001,0.005522434783210739,6.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,28,283.822,226.135,57.68700000000001,57.81870000000001,-0.002277809774346276,7
20220221_AWC_WT_HEX_IAA__2_reg.tif,29,282.531,224.923,57.608000000000004,57.81870000000001,-0.003644149730104668,7.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,30,284.718,225.269,59.44900000000001,57.81870000000001,0.02819675987180627,7.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,31,284.859,225.904,58.954999999999984,57.81870000000001,0.01965281128769718,7.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,32,285.822,225.327,60.495000000000005,57.81870000000001,0.04628779270374459,8
20220221_AWC_WT_HEX_IAA__2_reg.tif,33,285.136,226.865,58.271000000000015,57.81870000000001,0.007822728632778117,8.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,34,286.305,226.173,60.132000000000005,57.81870000000001,0.040009547084247796,8.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,35,285.46,226.288,59.17199999999997,57.81870000000001,0.023405922305412635,8.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,36,285.545,225.846,59.69900000000001,57.81870000000001,0.03252062049129443,9
20220221_AWC_WT_HEX_IAA__2_reg.tif,37,284.671,225.865,58.80599999999998,57.81870000000001,0.017075790358482223,9.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,38,285.991,225.25,60.740999999999985,57.81870000000001,0.05054247155332061,9.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,39,286.704,226.058,60.646000000000015,57.81870000000001,0.04889940451791562,9.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,40,287.103,225.981,61.122000000000014,57.81870000000001,0.05713203513742106,10
20220221_AWC_WT_HEX_IAA__2_reg.tif,41,286.46,226.615,59.84499999999997,57.81870000000001,0.03504575509307479,10.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,42,286.291,226.327,59.964,57.81870000000001,0.03710391274795164,10.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,43,285.784,226.788,58.99599999999998,57.81870000000001,0.020361924429293184,10.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,44,287.019,226.442,60.577,57.81870000000001,0.0477060189869366,11
20220221_AWC_WT_HEX_IAA__2_reg.tif,45,286.986,226.788,60.19799999999998,57.81870000000001,0.04115104628779222,11.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,46,286.404,226.019,60.38499999999999,57.81870000000001,0.044385294031169566,11.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,47,286,226.904,59.096000000000004,57.81870000000001,0.022091468677088843,11.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,48,285.746,226.423,59.32299999999998,57.81870000000001,0.026017534119583664,12
20220221_AWC_WT_HEX_IAA__2_reg.tif,49,286.188,225.692,60.49599999999998,57.81870000000001,0.04630508814622213,12.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,50,286.066,225.712,60.353999999999985,57.81870000000001,0.04384913531435293,12.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,51,287.221,226.462,60.759000000000015,57.81870000000001,0.050853789517924256,12.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,52,286.521,226.212,60.309000000000026,57.81870000000001,0.04307084040284577,13
20220221_AWC_WT_HEX_IAA__2_reg.tif,53,287.009,226.558,60.45100000000002,57.81870000000001,0.04552679323471497,13.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,54,286.756,225.154,61.601999999999975,57.81870000000001,0.06543384752683765,13.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,55,286.418,226.712,59.70600000000002,57.81870000000001,0.03264168858864018,13.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,56,287.31,226.019,61.291,57.81870000000001,0.060054964916194754,14
20220221_AWC_WT_HEX_IAA__2_reg.tif,57,287.779,225.635,62.144000000000005,57.81870000000001,0.07480797734988849,14.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,58,288.23,225.404,62.82600000000002,57.81870000000001,0.08660346911985248,14.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,59,288.854,226.288,62.565999999999974,57.81870000000001,0.08210665407558397,14.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,60,289.197,226.077,63.120000000000005,57.81870000000001,0.09168832920837025,15
20220221_AWC_WT_HEX_IAA__2_reg.tif,61,288.775,225.904,62.87099999999998,57.81870000000001,0.08738176403135964,15.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,62,288.587,226.692,61.89499999999998,57.81870000000001,0.07050141217287788,15.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,63,288.695,225.75,62.94499999999999,57.81870000000001,0.08866162677472834,15.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,64,289.512,226.308,63.20400000000001,57.81870000000001,0.09314114637651832,16
20220221_AWC_WT_HEX_IAA__2_reg.tif,65,289.559,225.942,63.61700000000002,57.81870000000001,0.10028416411991295,16.25
20220221_AWC_WT_HEX_IAA__2_reg.tif,66,288.967,226.731,62.23599999999999,57.81870000000001,0.07639915805785988,16.5
20220221_AWC_WT_HEX_IAA__2_reg.tif,67,288.559,226.462,62.09700000000004,57.81870000000001,0.07399509155342526,16.75
20220221_AWC_WT_HEX_IAA__2_reg.tif,68,289.817,226.077,63.74000000000001,57.81870000000001,0.10241150354470097,17
