animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220221_AWC_WT_HEX_IAA/20220221_AWC_WT_HEX_IAA__1/20220221_AWC_WT_HEX_IAA__1_ImageJ_data.csv,1,31.25,1.8412575360101888,60.75,1.374124799813043
20220221_AWC_WT_HEX_IAA/20220221_AWC_WT_HEX_IAA__2/20220221_AWC_WT_HEX_IAA__2_ImageJ_data.csv,2,39.5,-0.6279328754036928,62.25,2.181808910528568
20220221_AWC_WT_HEX_IAA/20220221_AWC_WT_HEX_IAA__3/20220221_AWC_WT_HEX_IAA__3_ImageJ_data.csv,3,36.25,2.674670835927257,60.75,0.7206405578802003
20220221_AWC_WT_HEX_IAA/20220221_AWC_WT_HEX_IAA__4/20220221_AWC_WT_HEX_IAA__4_ImageJ_data.csv,4,34,-0.07251169330036622,63.5,0.12464688594288038
20220221_AWC_WT_HEX_IAA/20220221_AWC_WT_HEX_IAA__5/20220221_AWC_WT_HEX_IAA__5_ImageJ_data.csv,5,31,1.5534729224946007,60.75,0.8915843153079155
20220221_AWC_WT_HEX_IAA/20220221_AWC_WT_HEX_IAA__6/20220221_AWC_WT_HEX_IAA__6_ImageJ_data.csv,6,35.5,2.1796407913904354,60.75,0.9350809600461276
20220221_AWC_WT_HEX_IAA/20220221_AWC_WT_HEX_IAA__7/20220221_AWC_WT_HEX_IAA__7_ImageJ_data.csv,7,32,0.19718294430700972,66.75,-0.11271143892575813
20220316_AWC_WT_HEX_IAA/20220316_AWC_WT_HEX_IAA__1/20220316_AWC_WT_HEX_IAA__1_ImageJ_data.csv,8,32.25,0.9848732022378298,70.25,-0.3265527475373346
20220316_AWC_WT_HEX_IAA/20220316_AWC_WT_HEX_IAA__2/20220316_AWC_WT_HEX_IAA__2_ImageJ_data.csv,9,32.5,0.759045741699062,60.75,0.30456954091306904
20220316_AWC_WT_HEX_IAA/20220316_AWC_WT_HEX_IAA__3/20220316_AWC_WT_HEX_IAA__3_ImageJ_data.csv,10,35.5,1.7172650147720414,60.75,0.2987281053937158
20220316_AWC_WT_HEX_IAA/20220316_AWC_WT_HEX_IAA__4/20220316_AWC_WT_HEX_IAA__4_ImageJ_data.csv,11,38.5,1.0058431562879042,60.75,0.9026075651893098
20220316_AWC_WT_HEX_IAA/20220316_AWC_WT_HEX_IAA__5/20220316_AWC_WT_HEX_IAA__5_ImageJ_data.csv,12,32,0.27517030584543134,61.25,1.6704429287796039
