animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,1,699.945,225.459,474.48600000000005,476.45165,-0.004125602251560941,0.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,2,698.5,224.475,474.025,476.45165,-0.005093171573652846,0.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,3,700.528,224.689,475.83900000000006,476.45165,-0.0012858597509315308,0.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,4,701.537,224.836,476.701,476.45165,5.233479619601475e-4,1
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,5,699.638,225.508,474.13,476.45165,-0.004872792443892213,1.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,6,702.89,224.787,478.10299999999995,476.45165,0.003465934056477671,1.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,7,702.312,224.59,477.722,476.45165,0.0026662726427749968,1.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,8,699.72,224.164,475.55600000000004,476.45165,-0.0018798339768577408,2
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,9,700.156,224.885,475.27099999999996,476.45165,-0.0024780059004938155,2.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,10,699.986,225.148,474.83799999999997,476.45165,-0.0033868074546494005,2.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,11,700.931,224.23,476.701,476.45165,5.233479619601475e-4,2.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,12,700.619,224.344,476.27500000000003,476.45165,-3.7076165021138717e-4,3
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,13,701.413,224.672,476.741,476.45165,6.073019161545838e-4,3.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,14,701.294,224.361,476.933,476.45165,0.00101028089628826,3.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,15,702.358,223.869,478.4889999999999,476.45165,0.00427608971445465,3.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,16,701.362,224.098,477.26399999999995,476.45165,0.0017049998672477697,4
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,17,702.408,223.475,478.933,476.45165,0.005207978606013896,4.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,18,701.963,223.574,478.38899999999995,476.45165,0.004066204828968439,4.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,19,700.583,224.082,476.501,476.45165,1.0357819098748846e-4,4.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,20,700.89,224.754,476.13599999999997,476.45165,-6.625016410374591e-4,5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,21,702.106,224.115,477.991,476.45165,0.003230862984733106,5.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,22,701.661,223.508,478.1529999999999,476.45165,0.0035708764992207166,5.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,23,700.413,224.475,475.938,476.45165,-0.0010780737143002532,5.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,24,702.11,224.016,478.09400000000005,476.45165,0.0034470444167841135,6
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,25,701.56,224.164,477.39599999999996,476.45165,0.0019820479160896722,6.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,26,701.862,223.475,478.38699999999994,476.45165,0.004062007131258694,6.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,27,700.904,223.984,476.91999999999996,476.45165,9.829958611749729e-4,6.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,28,700.913,223.131,477.78200000000004,476.45165,0.0027922035740668896,7
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,29,700.61,224.066,476.544,476.45165,1.9382869174660298e-4,7.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,30,702.303,223.967,478.336,476.45165,0.003954965839660835,7.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,31,698.881,224.377,474.50399999999996,476.45165,-0.004087822972173589,7.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,32,698.408,223.443,474.96500000000003,476.45165,-0.0031202536500816833,8
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,33,699.138,223.426,475.71200000000005,476.45165,-0.0015524135554991288,8.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,34,702.312,223.525,478.78700000000003,476.45165,0.004901546673204012,8.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,35,702.014,222.951,479.063,476.45165,0.005480828957146053,8.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,36,701.514,223.213,478.30100000000004,476.45165,0.0038815061297407037,9
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,37,701.17,223.803,477.36699999999996,476.45165,0.001921181299298658,9.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,38,699.771,223.934,475.837,476.45165,-0.0012900574486413958,9.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,39,701.119,223.525,477.59400000000005,476.45165,0.002397619989352705,9.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,40,700.11,223.77,476.34000000000003,476.45165,-2.3433647464530876e-4,10
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,41,699.913,224.033,475.88,476.45165,-0.0011998069478822812,10.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,42,700.656,224.066,476.5899999999999,476.45165,2.9037573907015707e-4,10.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,43,702.115,223.902,478.213,476.45165,0.003696807430512729,10.75
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,44,702.803,223.23,479.573,476.45165,0.006551241873126071,11
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,45,701.271,223.803,477.46799999999996,476.45165,0.002133165033639801,11.25
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,46,701.491,223.016,478.475,476.45165,0.004246705830486788,11.5
20220326_AWC_daf11_kaplan_IAA__4_reg.tif,47,702.729,223.984,478.745,476.45165,0.004813395021299711,11.75
