animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.04203033739612405,1073.356,0.25,252.235,0,raw,0.2595276604841037,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.04209125102054104,1071.993,0.5,250.824,0,raw,0.25958857410852065,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.0337778103214456,1067.089,0.75,252.471,0,raw,0.25127513340942526,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.00435145359260638,1042.548,1,251.118,0,raw,0.22184877668058603,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-9.518388332095165e-4,1039.486,1.25,252.235,0,raw,0.21654548425477013,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.00561046206727774,1035.404,1.5,251.824,0,raw,0.2118868610207019,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.00369422096582223,1035.384,1.75,250.294,0,raw,0.21380310212215742,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.00677162803272914,1033.253,2,250.588,0,raw,0.21072569505525052,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.00394548966654284,1035.068,2.25,250.176,0,raw,0.2135518334214368,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.01775130883391595,1022.425,2.5,248.412,0,raw,0.1997460142540637,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.01957617949874563,1022.281,2.75,249.706,0,raw,0.19792114358923402,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.02257871356897291,1021.856,3,251.647,0,raw,0.19491860951900675,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.02657236306982072,1017.356,3.25,250.294,0,raw,0.19092496001815892,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.0152107030821848,1025.603,3.5,249.588,0,raw,0.20228662000579484,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.01248989452488655,1028.63,3.75,250.471,0,raw,0.2050074285630931,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.00696959731208473,1033.568,4,251.059,0,raw,0.2105277257758949,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-7.576766553801942e-4,1038.11,4.25,250.706,0,raw,0.21673964643259944,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.00345551570013781,1040.959,4.5,250.235,0,raw,0.22095283878811744,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.00649231368409978,1043.705,4.75,250.588,0,raw,0.22398963677207942,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.01068139439661905,1047.418,5,251,0,raw,0.2281787174845987,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.01206464128442478,1047.979,5.25,250.471,0,raw,0.22956196437240442,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.01734636013492635,1052.788,5.5,251.118,0,raw,0.234843683222906,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.01507225149002017,1051.76,5.75,251.882,0,raw,0.23256957457799982,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,0.00896185354067756,1041.534,6,246.471,0,raw,0.2264591766286572,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.02338455005865793,1016.103,6.25,246.529,0,raw,0.19411277302932173,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.02844418798680531,1013.822,6.5,248.235,0,raw,0.18905313510117433,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.02870307089057817,1013.795,6.75,248.412,0,raw,0.18879425219740148,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.03631981201040277,1007.322,7,247.941,0,raw,0.18117751107757687,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.04539721108239627,1000.993,7.25,248.765,0,raw,0.17210011200558337,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.03110662098737042,1010.842,7.5,247.353,0,raw,0.18639070210060923,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.03350763301647883,1010.068,7.75,248.471,0,raw,0.18398969007150082,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.03375382558183133,1009.932,8,248.529,0,raw,0.18374349750614832,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.03563453373571002,1009.568,8.25,249.647,0,raw,0.18186278935226963,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.04003046696447926,1004.986,8.5,248.529,0,raw,0.17746685612350038,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.05503171601103831,991.342,8.75,246.706,0,raw,0.16246560707694133,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.05812815858557556,988.137,9,245.941,0,raw,0.15936916450240407,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.06477916495162021,983.014,9.25,246.059,0,raw,0.15271815813635942,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07050250757914589,979.445,9.5,247,0,raw,0.14699481550883375,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07170808972906835,978.377,9.75,246.882,0,raw,0.1457892333589113,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07424361934543108,976.438,10,246.941,0,raw,0.14325370374254856,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07595427696447876,974.973,10.25,246.824,0,raw,0.14154304612350088,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07260275858769479,978.555,10.5,247.765,0,raw,0.14489456450028487,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07335402662217264,977.904,10.75,247.706,0,raw,0.144143296465807,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07413321340117492,976.466,11,246.882,0,raw,0.14336410968680474,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.07348727517558497,977.74,11.25,247.647,0,raw,0.1440100479123947,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.0723451447177639,977.993,11.5,247,0,raw,0.14515217837021574,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.09392125809984642,959.226,11.75,245.235,0,raw,0.12357606498813323,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.09984891517593794,955.144,12,245.824,0,raw,0.1176484079120417,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.10160018187793012,951.705,12.25,243.765,0,raw,0.11589714121004953,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.1100709827734365,945.089,12.5,243.824,0,raw,0.10742634031454315,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.11866234188393526,938.966,12.75,244.471,0,raw,0.09883498120404438,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.12711664533949543,934.068,13,246.235,0,raw,0.09038067774848421,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.1242511669242066,933.973,13.25,243.882,0,raw,0.09324615616377305,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.12919786084041385,930.664,13.5,244.471,0,raw,0.0882994622475658,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.13098212242229887,929.199,13.75,244.412,0,raw,0.08651520066568077,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,-0.1360176487074478,925.76,14,244.941,0,raw,0.08147967438053183,daf11_IAA,IAA,OP50,AWC,-0.21749732308797964
