animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__1/20220325_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,1,36.75,-0.07343554391746769,69.75,0.3039091309405163
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__2/20220325_AWC_daf11_kaplan_IAA__2_ImageJ_data.csv,2,38.75,-0.05411120522492768,68.5,0.15291897296063742
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__3/20220325_AWC_daf11_kaplan_IAA__3_ImageJ_data.csv,3,40.25,0.02780324402584306,70.25,0.16959057105605208
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__4/20220325_AWC_daf11_kaplan_IAA__4_ImageJ_data.csv,4,36.75,0.034550164166096006,62,0.044334380916113435
20220325_AWC_daf11_kaplan_IAA/20220325_AWC_daf11_kaplan_IAA__5/20220325_AWC_daf11_kaplan_IAA__5_ImageJ_data.csv,5,38.5,0.0397063442983074,61.5,0.047780216106025786
20220326_AWC_daf11_kaplan_IAA/20220326_AWC_daf11_kaplan_IAA__1/20220326_AWC_daf11_kaplan_IAA__1_ImageJ_data.csv,6,38.25,-0.05646614282085554,69.5,0.03602614767708249
20220326_AWC_daf11_kaplan_IAA/20220326_AWC_daf11_kaplan_IAA__2/20220326_AWC_daf11_kaplan_IAA__2_ImageJ_data.csv,7,36.75,0.018797028323654416,66.5,-0.012018554224709228
20220326_AWC_daf11_kaplan_IAA/20220326_AWC_daf11_kaplan_IAA__3/20220326_AWC_daf11_kaplan_IAA__3_ImageJ_data.csv,8,31,0.2063510913528456,62.75,-0.10604803417682973
20220326_AWC_daf11_kaplan_IAA/20220326_AWC_daf11_kaplan_IAA__4/20220326_AWC_daf11_kaplan_IAA__4_ImageJ_data.csv,9,39.5,-0.02274702405345246,69.25,-0.03672745627569381
20220326_AWC_daf11_kaplan_IAA/20220326_AWC_daf11_kaplan_IAA__5/20220326_AWC_daf11_kaplan_IAA__5_ImageJ_data.csv,10,35.5,0.08882154580783884,65.5,-0.062348894089317354
