animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220325_AWC_Wt_IAA__1_reg.tif,1,762.566,209.419,553.147,544.77055,0.01537610650942877,0.25
20220325_AWC_Wt_IAA__1_reg.tif,2,759.934,209.903,550.031,544.77055,0.009656267211948209,0.5
20220325_AWC_Wt_IAA__1_reg.tif,3,757.151,210.065,547.086,544.77055,0.004250321534451625,0.75
20220325_AWC_Wt_IAA__1_reg.tif,4,758.127,209.806,548.3209999999999,544.77055,0.006517331012111348,1
20220325_AWC_Wt_IAA__1_reg.tif,5,760.711,209.935,550.7760000000001,544.77055,0.011023815439362702,1.25
20220325_AWC_Wt_IAA__1_reg.tif,6,758.904,209.645,549.259,544.77055,0.008239156834010313,1.5
20220325_AWC_Wt_IAA__1_reg.tif,7,759.723,209.484,550.2389999999999,544.77055,0.0100380793345014,1.75
20220325_AWC_Wt_IAA__1_reg.tif,8,758.241,209.29,548.951,544.77055,0.007673781190998788,2
20220325_AWC_Wt_IAA__1_reg.tif,9,755.488,210.516,544.9720000000001,544.77055,3.697887119634794e-4,2.25
20220325_AWC_Wt_IAA__1_reg.tif,10,752.886,208.935,543.951,544.77055,-0.0015043948319158143,2.5
20220325_AWC_Wt_IAA__1_reg.tif,11,752.072,209.935,542.137,544.77055,-0.004834237093029376,2.75
20220325_AWC_Wt_IAA__1_reg.tif,12,750.386,209.419,540.967,544.77055,-0.006981930282391317,3
20220325_AWC_Wt_IAA__1_reg.tif,13,751.849,209.516,542.3330000000001,544.77055,-0.004474452592930866,3.25
20220325_AWC_Wt_IAA__1_reg.tif,14,751.657,208.871,542.7860000000001,544.77055,-0.00364290984525485,3.5
20220325_AWC_Wt_IAA__1_reg.tif,15,753.241,208.581,544.66,544.77055,-2.0292947186662216e-4,3.75
20220325_AWC_Wt_IAA__1_reg.tif,16,751.964,209.871,542.0930000000001,544.77055,-0.0049150050420307834,4
20220325_AWC_Wt_IAA__1_reg.tif,17,751.916,209.581,542.335,544.77055,-0.004470781322521787,4.25
20220325_AWC_Wt_IAA__1_reg.tif,18,748.922,209.258,539.664,544.77055,-0.009373762953962857,4.5
20220325_AWC_Wt_IAA__1_reg.tif,19,745.855,209.161,536.694,544.77055,-0.01482559951157418,4.75
20220325_AWC_Wt_IAA__1_reg.tif,20,743.59,208.581,535.009,544.77055,-0.017918644831296304,5
20220325_AWC_Wt_IAA__1_reg.tif,21,741.753,209.581,532.172,544.77055,-0.023126341906698027,5.25
20220325_AWC_Wt_IAA__1_reg.tif,22,742.301,209.065,533.2360000000001,544.77055,-0.021173226049021655,5.5
20220325_AWC_Wt_IAA__1_reg.tif,23,741.627,209.742,531.885,544.77055,-0.02365316921041339,5.75
20220325_AWC_Wt_IAA__1_reg.tif,24,738.446,209.774,528.672,544.77055,-0.029551065122738248,6
20220325_AWC_Wt_IAA__1_reg.tif,25,737.819,209.419,528.4,544.77055,-0.03005035789838489,6.25
20220325_AWC_Wt_IAA__1_reg.tif,26,733.934,209.968,523.966,544.77055,-0.038189564395505506,6.5
20220325_AWC_Wt_IAA__1_reg.tif,27,733.946,209.935,524.011,544.77055,-0.03810696081129935,6.75
20220325_AWC_Wt_IAA__1_reg.tif,28,735.241,208.516,526.725,544.77055,-0.0331250468660612,7
