animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220326_AWC_WT_IAA__2_reg.tif,1,1742.425,220.2,1522.225,1526.97515,-0.0031108233817689016,0.25
20220326_AWC_WT_IAA__2_reg.tif,2,1737.336,219.6,1517.736,1526.97515,-0.006050622369329246,0.5
20220326_AWC_WT_IAA__2_reg.tif,3,1742.719,219.467,1523.252,1526.97515,-0.0024382518602218462,0.75
20220326_AWC_WT_IAA__2_reg.tif,4,1761.041,218.9,1542.1409999999998,1526.97515,0.009931955998105054,1
20220326_AWC_WT_IAA__2_reg.tif,5,1762.979,218.867,1544.112,1526.97515,0.011222743212291369,1.25
20220326_AWC_WT_IAA__2_reg.tif,6,1756.363,219.8,1536.563,1526.97515,0.006278982339693031,1.5
20220326_AWC_WT_IAA__2_reg.tif,7,1752.692,220,1532.692,1526.97515,0.003743905066169559,1.75
20220326_AWC_WT_IAA__2_reg.tif,8,1747.521,218.367,1529.154,1526.97515,0.001426905997782617,2
20220326_AWC_WT_IAA__2_reg.tif,9,1741,219.4,1521.6,1526.97515,-0.0035201293223403643,2.25
20220326_AWC_WT_IAA__2_reg.tif,10,1741.719,219.067,1522.652,1526.97515,-0.0028311855631703905,2.5
20220326_AWC_WT_IAA__2_reg.tif,11,1743.158,218.667,1524.491,1526.97515,-0.0016268437636329574,2.75
20220326_AWC_WT_IAA__2_reg.tif,12,1745.616,218.367,1527.249,1526.97515,1.7934149092081725e-4,3
20220326_AWC_WT_IAA__2_reg.tif,13,1745.486,219.267,1526.219,1526.97515,-4.95194699140935e-4,3.25
20220326_AWC_WT_IAA__2_reg.tif,14,1754.918,219.267,1535.6509999999998,1526.97515,0.005681723111210981,3.5
20220326_AWC_WT_IAA__2_reg.tif,15,1757.164,218.567,1538.597,1526.97515,0.007611027592688719,3.75
20220326_AWC_WT_IAA__2_reg.tif,16,1750.247,218.633,1531.614,1526.97515,0.0030379341798719172,4
20220326_AWC_WT_IAA__2_reg.tif,17,1743.788,217.467,1526.321,1526.97515,-4.283959696397629e-4,4.25
20220326_AWC_WT_IAA__2_reg.tif,18,1733.123,217.867,1515.256,1526.97515,-0.007674748341516821,4.5
20220326_AWC_WT_IAA__2_reg.tif,19,1727.959,218.233,1509.726,1526.97515,-0.011296287303693104,4.75
20220326_AWC_WT_IAA__2_reg.tif,20,1730.219,217.967,1512.252,1526.97515,-0.009642036414279586,5
20220326_AWC_WT_IAA__2_reg.tif,21,1738.178,217.167,1521.0110000000002,1526.97515,-0.0039058592407347236,5.25
20220326_AWC_WT_IAA__2_reg.tif,22,1746.336,217.567,1528.769,1526.97515,0.0011747735383906021,5.5
20220326_AWC_WT_IAA__2_reg.tif,23,1753.007,217.7,1535.307,1526.97515,0.005456441121520564,5.75
20220326_AWC_WT_IAA__2_reg.tif,24,1757.144,218.1,1539.044,1526.97515,0.007903763201385505,6
20220326_AWC_WT_IAA__2_reg.tif,25,1752.808,217.367,1535.441,1526.97515,0.005544196315179095,6.25
20220326_AWC_WT_IAA__2_reg.tif,26,1757.966,217.133,1540.8329999999999,1526.97515,0.009075360525677102,6.5
20220326_AWC_WT_IAA__2_reg.tif,27,1758.397,218.267,1540.1299999999999,1526.97515,0.008614973203722337,6.75
20220326_AWC_WT_IAA__2_reg.tif,28,1747.719,219.267,1528.452,1526.97515,9.671735653327515e-4,7
20220326_AWC_WT_IAA__2_reg.tif,29,1736.137,218.433,1517.704,1526.97515,-0.0060715788334866055,7.25
20220326_AWC_WT_IAA__2_reg.tif,30,1726.596,217.433,1509.163,1526.97515,-0.011664990094959945,7.5
20220326_AWC_WT_IAA__2_reg.tif,31,1712.527,218.133,1494.394,1526.97515,-0.021337053193039836,7.75
20220326_AWC_WT_IAA__2_reg.tif,32,1712.808,217.8,1495.008,1526.97515,-0.02093495103702241,8
20220326_AWC_WT_IAA__2_reg.tif,33,1719.445,218.2,1501.245,1526.97515,-0.016850405194871767,8.25
20220326_AWC_WT_IAA__2_reg.tif,34,1723.034,217.967,1505.067,1526.97515,-0.014347417507089082,8.5
20220326_AWC_WT_IAA__2_reg.tif,35,1728.521,217.633,1510.888,1526.97515,-0.010535305698982768,8.75
20220326_AWC_WT_IAA__2_reg.tif,36,1723.411,217.867,1505.544,1526.97515,-0.014035035213244885,9
20220326_AWC_WT_IAA__2_reg.tif,37,1713.87,218.533,1495.337,1526.97515,-0.02071949238990562,9.25
20220326_AWC_WT_IAA__2_reg.tif,38,1703.322,217.867,1485.455,1526.97515,-0.02719111047746917,9.5
20220326_AWC_WT_IAA__2_reg.tif,39,1708.753,217.267,1491.4859999999999,1526.97515,-0.02324147187333082,9.75
20220326_AWC_WT_IAA__2_reg.tif,40,1712.877,217.867,1495.01,1526.97515,-0.02093364125801261,10
20220326_AWC_WT_IAA__2_reg.tif,41,1711.87,217.733,1494.137,1526.97515,-0.02150535979580286,10.25
20220326_AWC_WT_IAA__2_reg.tif,42,1707.103,217.733,1489.3700000000001,1526.97515,-0.024627218065729404,10.5
20220326_AWC_WT_IAA__2_reg.tif,43,1701.664,217.1,1484.564,1526.97515,-0.02777461702634775,10.75
20220326_AWC_WT_IAA__2_reg.tif,44,1700.651,217,1483.651,1526.97515,-0.028372531144334547,11
20220326_AWC_WT_IAA__2_reg.tif,45,1699.082,217.133,1481.949,1526.97515,-0.029487153081698754,11.25
20220326_AWC_WT_IAA__2_reg.tif,46,1694.116,217.667,1476.449,1526.97515,-0.03308904535872762,11.5
20220326_AWC_WT_IAA__2_reg.tif,47,1695.603,217.367,1478.236,1526.97515,-0.03191875781344568,11.75
20220326_AWC_WT_IAA__2_reg.tif,48,1694.301,216.5,1477.801,1526.97515,-0.03220363474808353,12
20220326_AWC_WT_IAA__2_reg.tif,49,1692.116,217.667,1474.449,1526.97515,-0.034398824368556305,12.25
20220326_AWC_WT_IAA__2_reg.tif,50,1699.486,218.1,1481.3860000000002,1526.97515,-0.029855855872965444,12.5
20220326_AWC_WT_IAA__2_reg.tif,51,1694.438,217.8,1476.6380000000001,1526.97515,-0.03296527124229876,12.75
20220326_AWC_WT_IAA__2_reg.tif,52,1691.692,217.4,1474.292,1526.97515,-0.034501642020827956,13
20220326_AWC_WT_IAA__2_reg.tif,53,1691.829,217.233,1474.596,1526.97515,-0.03430255561133394,13.25
20220326_AWC_WT_IAA__2_reg.tif,54,1691.767,216.867,1474.9,1526.97515,-0.034103469201839924,13.5
20220326_AWC_WT_IAA__2_reg.tif,55,1681.192,216.267,1464.925,1526.97515,-0.04063599201336055,13.75
20220326_AWC_WT_IAA__2_reg.tif,56,1670.267,216.7,1453.567,1526.97515,-0.04807422701017759,14
20220326_AWC_WT_IAA__2_reg.tif,57,1654.096,217.133,1436.963,1526.97515,-0.05894801234977532,14.25
20220326_AWC_WT_IAA__2_reg.tif,58,1661.096,215.733,1445.363,1526.97515,-0.05344694050849481,14.5
20220326_AWC_WT_IAA__2_reg.tif,59,1669.651,216.633,1453.018,1526.97515,-0.04843376134837555,14.75
20220326_AWC_WT_IAA__2_reg.tif,60,1678.918,215.633,1463.2849999999999,1526.97515,-0.04171001080142014,15
20220326_AWC_WT_IAA__2_reg.tif,61,1675.192,216.467,1458.725,1526.97515,-0.04469630694382949,15.25
20220326_AWC_WT_IAA__2_reg.tif,62,1672.952,216.167,1456.785,1526.97515,-0.0459667925833632,15.5
20220326_AWC_WT_IAA__2_reg.tif,63,1659.514,216.733,1442.781,1526.97515,-0.0551378652101837,15.75
20220326_AWC_WT_IAA__2_reg.tif,64,1655.096,217.2,1437.896,1526.97515,-0.05833700044169025,16
20220326_AWC_WT_IAA__2_reg.tif,65,1657.89,217.233,1440.6570000000002,1526.97515,-0.05652885051862162,16.25
20220326_AWC_WT_IAA__2_reg.tif,66,1668.952,217.9,1451.052,1526.97515,-0.04972127411503722,16.5
