animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.01537610650942877,762.566,0.25,209.419,0,raw,0.08757726944193175,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.0096562672119482,759.934,0.5,209.903,0,raw,0.0818574301444512,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.00425032153445162,757.151,0.75,210.065,0,raw,0.07645148446695461,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.00651733101211134,758.127,1,209.806,0,raw,0.07871849394461433,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.0110238154393627,760.711,1.25,209.935,0,raw,0.0832249783718657,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.00823915683401031,758.904,1.5,209.645,0,raw,0.08044031976651331,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.0100380793345014,759.723,1.75,209.484,0,raw,0.0822392422670044,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,0.00767378119099878,758.241,2,209.29,0,raw,0.07987494412350177,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,3.697887119634794e-4,755.488,2.25,210.516,0,raw,0.07257095164446647,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
20220325_AWC_Wt_IAA/20220325_AWC_Wt_IAA__1/20220325_AWC_Wt_IAA__1_ImageJ_data.csv,1,-0.00150439483191581,752.886,2.5,208.935,0,raw,0.07069676810058718,WT_IAA,IAA,OP50,AWC,-0.07220116293250299
